,5,6,7,8,9,10,11,12
소분류,13∼19세,15∼19세,20∼29세,30∼39세,40∼49세,50∼59세,60세 이상,65세 이상
계 (%),100.0,-,100.0,100.0,100.0,100.0,100.0,100.0
인구 1인당 평균독서권수 (권),22.2,-,18.8,16.6,13.0,7.7,3.0,2.3
독서함 (%),80.1,-,76.9,75.8,68.0,51.9,26.6,21.4
독서인구 1인당 평균독서권수 (권),27.7,-,24.5,21.9,19.2,14.7,11.2,10.8
잡지류,35.6,-,54.6,48.7,50.1,51.7,39.6,34.4
잡지평균권수,6.7,-,7.2,7.4,8.2,7.3,7.6,7.4
교양서적,78.0,-,71.9,67.4,70.2,66.4,72.4,74.9
교양서적평균권수,13.0,-,10.0,10.1,10.6,8.7,8.5,9.0
직업서적,19.7,-,49.8,46.3,39.2,33.1,12.8,10.2
직업서적평균권수,5.9,-,8.4,6.9,8.0,7.9,8.6,6.1
생활취미서적,19.4,-,31.5,40.1,28.1,26.0,17.4,14.6
생활취미서적평균권수,6.2,-,5.0,5.3,5.4,4.5,4.2,4.3
기타서적,51.0,-,30.4,21.0,12.8,7.1,3.0,3.1
기타서적평균권수,25.2,-,24.9,29.3,23.4,19.7,8.6,9.0
