0,1,year,month,day
"1,287","1,561",2015,1,2
"1,287","1,449",2015,1,5
"1,303","1,432",2015,1,6
"1,277","1,411",2015,1,7
"1,352","1,407",2015,1,8
"1,333","1,403",2015,1,9
"1,329","1,352",2015,1,12
"1,329","1,340",2015,1,13
"1,329","1,326",2015,1,14
"1,262","1,321",2015,1,15
"1,258","1,314",2015,1,16
"1,253","1,268",2015,1,19
"1,262","1,254",2015,1,20
"1,254","1,239",2015,1,21
"1,233","1,222",2015,1,22
"1,241","1,216",2015,1,23
"1,228","1,221",2015,1,26
"1,212","1,231",2015,1,27
"1,199","1,241",2015,1,28
"1,203","1,239",2015,1,29
"1,203","1,251",2015,1,30
"1,210","1,241",2015,2,2
"1,214","1,238",2015,2,3
"1,213","1,238",2015,2,4
"1,261","1,239",2015,2,5
"1,256","1,240",2015,2,6
"1,261","1,231",2015,2,9
"1,248","1,229",2015,2,10
"1,248","1,226",2015,2,11
"1,204","1,222",2015,2,12
"1,213","1,227",2015,2,13
"1,204","1,270",2015,2,16
"1,202","1,282",2015,2,17
"1,205","1,323",2015,2,23
"1,212","1,325",2015,2,24
"1,229","1,325",2015,2,25
"1,295","1,320",2015,2,26
"1,300","1,308",2015,2,27
"1,300","1,281",2015,3,2
"1,297","1,274",2015,3,3
"1,297","1,260",2015,3,4
"1,288","1,247",2015,3,5
"1,272","1,245",2015,3,6
"1,286","1,243",2015,3,9
"1,286","1,246",2015,3,10
"1,275","1,250",2015,3,11
"1,246","1,252",2015,3,12
"1,241","1,255",2015,3,13
"1,248","1,283",2015,3,16
"1,253","1,288",2015,3,17
"1,260","1,297",2015,3,18
"1,257","1,305",2015,3,19
"1,239","1,310",2015,3,20
"1,261","1,304",2015,3,23
"1,261","1,300",2015,3,24
"1,250","1,298",2015,3,25
"1,297","1,295",2015,3,26
"1,283","1,290",2015,3,27
"1,283","1,287",2015,3,30
"1,286","1,298",2015,3,31
"1,283","1,307",2015,4,1
"1,303","1,314",2015,4,2
"1,271","1,314",2015,4,3
"1,283","1,314",2015,4,6
"1,283","1,325",2015,4,7
"1,283","1,337",2015,4,8
"1,334","1,348",2015,4,9
"1,338","1,353",2015,4,10
"1,321","1,378",2015,4,13
"1,317","1,379",2015,4,14
"1,317","1,380",2015,4,15
