date,평균,평년
2015-01-02,1287,1561
2015-01-05,1287,1449
2015-01-06,1303,1432
2015-01-07,1277,1411
2015-01-08,1352,1407
2015-01-09,1333,1403
2015-01-12,1329,1352
2015-01-13,1329,1340
2015-01-14,1329,1326
2015-01-15,1262,1321
2015-01-16,1258,1314
2015-01-19,1253,1268
2015-01-20,1262,1254
2015-01-21,1254,1239
2015-01-22,1233,1222
2015-01-23,1241,1216
2015-01-26,1228,1221
2015-01-27,1212,1231
2015-01-28,1199,1241
2015-01-29,1203,1239
2015-01-30,1203,1251
2015-02-02,1210,1241
2015-02-03,1214,1238
2015-02-04,1213,1238
2015-02-05,1261,1239
2015-02-06,1256,1240
2015-02-09,1261,1231
2015-02-10,1248,1229
2015-02-11,1248,1226
2015-02-12,1204,1222
2015-02-13,1213,1227
2015-02-16,1204,1270
2015-02-17,1202,1282
2015-02-23,1205,1323
2015-02-24,1212,1325
2015-02-25,1229,1325
2015-02-26,1295,1320
2015-02-27,1300,1308
2015-03-02,1300,1281
2015-03-03,1297,1274
2015-03-04,1297,1260
2015-03-05,1288,1247
2015-03-06,1272,1245
2015-03-09,1286,1243
2015-03-10,1286,1246
2015-03-11,1275,1250
2015-03-12,1246,1252
2015-03-13,1241,1255
2015-03-16,1248,1283
2015-03-17,1253,1288
2015-03-18,1260,1297
2015-03-19,1257,1305
2015-03-20,1239,1310
2015-03-23,1261,1304
2015-03-24,1261,1300
2015-03-25,1250,1298
2015-03-26,1297,1295
2015-03-27,1283,1290
2015-03-30,1283,1287
2015-03-31,1286,1298
2015-04-01,1283,1307
2015-04-02,1303,1314
2015-04-03,1271,1314
2015-04-06,1283,1314
2015-04-07,1283,1325
2015-04-08,1283,1337
2015-04-09,1334,1348
2015-04-10,1338,1353
2015-04-13,1321,1378
2015-04-14,1317,1379
2015-04-15,1317,1380
2015-04-16,1354,1380
2015-04-17,1326,1380
2015-04-20,1334,1367
2015-04-21,1346,1371
2015-04-22,1344,1379
2015-04-23,1363,1389
2015-04-24,1342,1402
2015-04-27,1341,1432
2015-04-28,1341,1437
2015-04-29,1336,1440
2015-04-30,1332,1446
2015-05-04,1330,1471
2015-05-06,1341,1480
2015-05-07,1309,1493
2015-05-08,1318,1506
2015-05-11,1308,1588
2015-05-12,1322,1597
2015-05-13,1322,1618
2015-05-14,1322,1624
2015-05-15,1322,1631
2015-05-18,1374,1684
2015-05-19,1388,1684
2015-05-20,1385,1707
2015-05-21,1389,1746
2015-05-22,1386,1786
2015-05-26,1434,1740
2015-05-27,1438,1719
2015-05-28,1438,1711
2015-05-29,1466,1737
2015-06-01,1617,1740
2015-06-02,1744,1765
2015-06-03,1744,1780
2015-06-04,1789,1784
2015-06-05,1812,1796
2015-06-08,1794,1747
2015-06-09,1808,1727
2015-06-10,1808,1720
2015-06-11,1836,1692
2015-06-12,1839,1695
2015-06-15,1835,1719
2015-06-16,1835,1702
2015-06-17,1834,1704
2015-06-18,1797,1710
2015-06-19,1797,1709
2015-06-22,1838,1709
2015-06-23,1850,1706
2015-06-24,1844,1702
2015-06-25,1828,1699
2015-06-26,1830,1701
2015-06-29,1882,1707
2015-06-30,1888,1717
2015-07-01,1881,1716
2015-07-02,1837,1720
2015-07-03,1850,1730
2015-07-06,1957,1778
2015-07-07,1939,1793
2015-07-08,2033,1806
2015-07-09,2254,1820
2015-07-10,2249,1820
2015-07-13,2304,1821
2015-07-14,2286,1826
2015-07-15,2306,1825
2015-07-16,2455,1827
2015-07-17,2403,1824
2015-07-20,2404,1854
2015-07-21,2400,1878
2015-07-22,2380,1905
2015-07-23,2302,1931
2015-07-24,2302,1940
2015-07-27,2240,2014
2015-07-28,2244,2057
2015-07-29,2213,2091
2015-07-30,2133,2108
2015-07-31,2139,2115
2015-08-03,2133,2161
2015-08-04,2114,2092
2015-08-05,2114,2098
2015-08-06,2039,2111
2015-08-07,2035,2195
2015-08-10,2026,2468
2015-08-11,1992,2448
2015-08-12,1993,2450
2015-08-13,1855,2462
2015-08-17,1798,2300
2015-08-18,1793,2224
2015-08-19,1809,2195
2015-08-20,1876,2227
2015-08-21,1870,2229
2015-08-24,1870,2228
2015-08-25,1870,2237
2015-08-26,1883,2234
2015-08-27,1861,2241
2015-08-28,1858,2247
2015-08-31,1854,2193
2015-09-01,1832,2194
2015-09-02,1813,2198
2015-09-03,1774,2207
2015-09-04,1769,2212
2015-09-07,1785,2209
2015-09-08,1795,2213
2015-09-09,1777,2217
2015-09-10,1716,2233
2015-09-11,1687,2232
2015-09-14,1702,2248
2015-09-15,1679,2246
2015-09-16,1669,2254
2015-09-17,1597,2271
2015-09-18,1577,2286
2015-09-21,1504,2293
2015-09-22,1505,2262
2015-09-23,1512,2248
2015-09-24,1537,2256
2015-09-25,1518,2283
2015-09-30,1486,2387
2015-10-01,1496,2390
2015-10-02,1469,2398
2015-10-05,1472,2447
2015-10-06,1445,2445
