날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2019-12-31,2.5,-18.2,-1.9,20,18.7,1031.1
2019-12-30,13.3,7.5,12.5,68,10.4,1019.7
2019-12-29,5.9,-4.0,5.9,49,3.2,1026.4
2019-12-28,9.1,-10.4,8.3,24,6.5,1028.1
2019-12-27,8.1,-12.3,5.4,22,16.2,1022.1
2019-12-26,6.1,0.6,3.0,68,15.8,1012.9
2019-12-25,14.5,0.0,13.8,37,11.5,1021.1
2019-12-24,10.9,-0.5,9.2,45,13.3,1025.4
2019-12-23,12.0,-0.2,10.7,43,12.2,1019.8
2019-12-22,6.5,-1.4,6.5,57,2.9,1018.9
2019-12-21,4.8,-6.1,1.8,45,13.0,1027.6
2019-12-20,9.0,-4.5,7.2,38,11.5,1027.4
2019-12-19,11.2,-11.6,9.3,19,15.8,1020.7
2019-12-18,13.8,-3.0,12.7,31,14.4,1019.9
2019-12-17,14.8,8.9,14.8,68,5.8,1012.7
2019-12-16,16.1,4.7,16.1,47,7.6,1023.0
2019-12-15,12.4,2.2,10.8,50,15.8,1029.2
2019-12-14,11.5,-5.5,9.5,30,17.6,1026.1
2019-12-13,9.6,-6.7,8.5,31,8.3,1027.2
2019-12-12,8.4,-11.5,6.8,23,9.4,1027.4
2019-12-11,17.6,5.8,17.4,46,13.7,1014.2
2019-12-10,16.5,5.1,16.5,47,7.9,1020.1
2019-12-09,12.1,-4.1,11.2,32,9.4,1023.5
2019-12-08,-,-,-,-,-,-
2019-12-07,-,-,-,-,-,-
2019-12-06,-,-,-,-,-,-
2019-12-05,-,-,-,-,-,-
2019-12-04,-,-,-,-,-,-
2019-12-03,-,-,-,-,-,-
2019-12-02,-,-,-,-,-,-
2019-12-01,-,-,-,-,-,-
2019-11-30,-,-,-,-,-,-
2019-11-29,-,-,-,-,-,-
2019-11-28,-,-,-,-,-,-
2019-11-27,-,-,-,-,-,-
2019-11-26,-,-,-,-,-,-
2019-11-25,14.4,6.2,14.1,58,8.6,1025.7
2019-11-24,16.1,13.7,16.1,86,6.5,1016.9
2019-11-23,20.1,9.0,20.1,49,11.2,1023.0
2019-11-22,18.6,6.7,18.6,46,6.5,1026.4
2019-11-21,15.1,-1.5,14.7,32,10.1,1030.0
2019-11-20,10.7,-6.6,8.8,29,14.4,1029.0
2019-11-19,8.4,-4.1,6.8,41,9.7,1023.4
2019-11-18,14.1,5.9,13.8,58,8.3,1015.5
