,행정구역,유아,10대,20대,30대,40대,50대,60대,70대,80대,90대,100세 이상
0,전국,4148654,4940455,6806410,7045120,8389281,8666971,6344284,3607104,1644448,234401,20381
1,서울특별시,660410,816346,1457376,1507127,1562505,1539740,1194854,687085,261722,40019,6325
2,부산광역시,242231,282183,435626,433536,517826,581966,509116,284987,108317,14235,1796
3,대구광역시,187477,235903,323212,304758,392841,428568,309806,170765,73744,8726,688
4,인천광역시,241048,282326,407195,419066,490378,516278,341815,171847,73779,11487,900
5,광주광역시,125900,163590,207983,192125,244541,233833,154208,90935,37735,5438,400
6,대전광역시,121132,152558,212630,199709,242465,243752,169130,88002,38976,5464,334
7,울산광역시,103835,116334,148649,158880,190754,211323,135476,57248,21413,2967,158
8,세종특별자치시,47342,40361,36452,61447,65109,42665,27467,13558,6804,1068,55
9,경기도,1180483,1351772,1771845,1920085,2294108,2201660,1410184,740409,327622,48235,3965
10,강원도,109120,142857,180682,170183,228154,270181,224502,135828,67838,10400,795
11,충청북도,128793,153715,199901,199322,243851,274025,208445,119138,63105,8557,539
12,충청남도,180865,207409,245107,277923,328866,341152,262421,167116,97385,13328,883
13,전라북도,136102,181692,213494,196940,274349,303487,243700,165237,88857,12637,807
14,전라남도,138546,174079,204015,194065,265378,317456,258310,192234,105063,14760,806
15,경상북도,199154,234724,293166,304966,391303,464755,387775,238260,130048,17417,940
16,경상남도,284183,332811,386854,420582,543802,585162,432284,239878,119203,15864,721
17,제주특별자치도,62033,71795,82223,84406,113051,110968,74791,44577,22837,3799,269
