행정구역,2016 합계,2016 도서,2016 만화,2016 음악,2016 영화,2017 합계,2017 도서,2017 만화,2017 음악,2017 영화,총합계,총도서,총음악,총영화
전국,105324417,20765878,976257,5308240,5256081,113044446,20755334,1082228,5804307,5494670,218368863,43579697,11112547,10750751
서울,69254119,11664063,497326,3465543,3295392,72427557,11644169,568621,3754518,3192434,141681676,24374179,7220061,6487826
부산,2546150,563789,11979,191683,214712,2861484,562179,12872,212431,223604,5407634,1150819,404114,438316
대구,1923517,413994,13810,198291,141103,1977667,411689,14983,221536,142459,3901184,854476,419827,283562
인천,1532889,418892,17659,114770,123007,1619777,418798,18716,124413,139791,3152666,874065,239183,262798
광주,975916,275276,25279,22650,82448,1005745,275059,26213,25127,98049,1981661,601827,47777,180497
대전,1216767,247460,9488,32727,89355,1410208,246205,10328,36042,96755,2626975,513481,68769,186110
울산,535203,138120,3384,37654,54417,606924,137083,3692,40476,57195,1142127,282279,78130,111612
세종,0,0,0,0,0,70431,29747,266,9015,11469,70431,30013,9015,11469
경기,20907333,5982164,328707,845109,725606,23666399,5972109,352354,941091,998585,44573732,12635334,1786200,1724191
강원,563785,65727,15909,63921,61698,614434,65484,17089,69652,63858,1178219,164209,133573,125556
충북,829813,87060,2242,30145,63074,870583,86671,2357,32447,64868,1700396,178330,62592,127942
충남,826359,210133,1791,36337,79388,869791,208702,1905,39964,74774,1696150,422531,76301,154162
전북,612301,103451,11394,38044,70566,696450,103095,12419,42842,76074,1308751,230359,80886,146640
전남,360228,50490,1500,42551,41106,487313,50329,1623,47450,37697,847541,103942,90001,78803
경북,906158,281494,23872,67179,68756,1013029,280502,25956,74010,68659,1919187,611824,141189,137415
경남,1361055,223575,6494,109826,123083,1521625,223436,6957,120357,122482,2882680,460462,230183,245565
제주,972825,40190,5423,11810,22369,1325030,40077,5877,12937,25918,2297855,91567,24747,48287
