"지역(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
"지역(1)",도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권),도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권)
"전국",759,67487592,3051789,129945,6409222,88916,4021,171,8444,258315524,340337,178051075,119074484,786,72475471,3100037,129821,2953911,92208,3944,165,3758,270480202,344122,187674068,124032627
"서울",101,8329942,377762,24748,2710066,82475,3740,245,26832,53642006,531109,37045407,19965666,109,8910508,404998,23447,597622,81748,3716,215,5483,57095987,523816,42552573,21517570
"부산",30,3516872,206144,9121,52217,117229,6871,304,1741,16110382,537013,12708352,6883021,31,3805854,200259,9775,245380,122769,6460,315,7915,18497195,596684,12937365,7662549
"대구",26,2762505,122094,8571,60738,106250,4696,330,2336,9280974,356961,5534720,5397356,27,2925940,129648,12302,65038,108368,4802,456,2409,9747751,361028,5556795,5405036
"인천",26,2396288,110789,5026,1164618,92165,4261,193,44793,12651533,486597,9357216,5010111,31,2669330,112029,5339,89039,86107,3614,172,2872,12124671,391118,9196704,5178916
"광주",16,1794391,47049,3690,48118,112149,2941,231,3007,7526084,470380,4025590,2295535,16,1897568,50209,3933,58165,118598,3138,246,3635,7222604,451413,4505537,2495579
"대전",22,2033139,105637,2369,33081,92415,4802,108,1504,7707618,350346,4981188,3126965,22,2117938,106653,2472,41370,96270,4848,112,1880,7368907,334950,4484693,2655484
"울산",11,1090762,91484,2652,13248,99160,8317,241,1204,4613705,419428,3706505,2427252,11,1184488,97379,2682,17135,107681,8853,244,1558,6086908,553355,4367154,2640441
"경기",163,17752889,861151,27688,581900,108913,5283,170,3570,79457939,487472,56399286,38532629,169,19219691,878457,27102,876150,113726,5198,160,5184,82202919,486408,58203064,39448067
"강원",47,3746210,145894,5742,64956,79707,3104,122,1382,9080967,193212,5942953,3545375,47,3996405,153998,10480,76521,85030,3277,223,1628,8291692,176419,5645432,3795030
"충북",32,2299616,84287,2718,52366,71863,2634,85,1636,5572150,174130,4183662,2974780,32,2411784,76123,2156,62648,75368,2379,67,1958,6695775,209243,4474261,3402184
"충남",51,3646239,116367,3794,45532,71495,2282,74,893,8560937,167862,5140145,4694101,51,3941533,115620,3549,66354,77285,2267,70,1301,8274720,162249,5651345,4997578
"전북",45,3086301,90174,1818,102513,68584,2004,40,2278,8375174,186115,4548264,4098973,47,3326778,91928,1727,108070,70783,1956,37,2299,9252931,196871,3696592,4215456
"전남",57,4200504,198587,9556,1152606,73693,3484,168,20221,7140419,125271,4873862,4103341,57,4482143,199046,7533,241654,78634,3492,132,4240,8360886,146682,5711134,4104085
"경북",58,4346613,178501,7713,109819,74942,3078,133,1893,10802722,186254,7138805,6171593,60,4655524,145856,7681,187817,77592,2431,128,3130,10871302,181188,7954929,6464393
"경남",53,4714109,262738,13592,186627,88945,4957,256,3521,14963977,282339,10568915,8124600,55,5048650,284184,8399,166588,91794,5167,153,3029,15399003,279982,10755085,8333700
"제주",21,1771212,53131,1147,30817,84343,2530,55,1467,2828937,134711,1896205,1723186,21,1881337,53650,1244,54360,89587,2555,59,2589,2986951,142236,1981405,1716559
