날짜,avg_moo,avgY_moo,avg_baechoo,avgY_baechoo,avg_apple,avgY_apple,avg_scallion,avgY_scallion,avg_pear,avgY_pear,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압,태풍
2015-01-05,1287,1449,1957,3466,21350,22826,2375,2697,29208,30482,-,10.4,-3.3,10.4,0.0,38.0,서북서,2.9,1017.9,x
2015-01-06,1303,1432,1980,3481,21717,22882,2397,2697,29496,30531,-,9.1,-16.2,6.7,11.5,15.0,북서,15.8,1011.3,x
2015-01-07,1277,1411,1957,2670,21944,22949,2383,2692,29578,30600,-,2.5,-28.5,-1.6,0.0,8.0,북서,16.9,1018.0,x
2015-01-08,1352,1407,1959,2607,21442,22809,2340,2676,28685,30718,-,3.3,-19.4,-0.1,0.0,17.0,북서,13.7,1022.8,x
2015-01-09,1333,1403,1936,2597,21476,22827,2344,2654,28639,30809,-,5.1,-12.4,1.6,0.0,27.0,북서,16.6,1022.9,x
2015-01-12,1329,1352,1936,2382,21495,23395,2311,2591,28712,31148,-,4.9,-14.0,2.0,0.0,24.0,서북서,13.0,1033.5,x
2015-01-13,1329,1340,1928,2421,21302,23518,2287,2584,28442,31286,-,9.1,-8.9,7.7,0.0,27.0,서남서,9.0,1033.1,x
2015-01-14,1329,1326,1913,2479,21302,23797,2296,2585,28488,31346,-,5.3,-1.4,3.9,0.5,62.0,서북서,6.5,1025.3,x
2015-01-15,1262,1321,1907,2473,21208,23878,2220,2593,28697,31378,-,9.3,-1.4,6.6,0.5,47.0,북서,18.7,1020.1,x
2015-01-16,1258,1314,1896,2473,21239,23902,2159,2608,28121,31467,-,8.5,-5.3,5.7,0.0,37.0,북서,18.0,1017.4,x
2015-01-19,1253,1268,1896,2470,21376,24812,2157,2632,28491,31635,-,9.6,-11.7,7.3,0.0,21.0,북서,15.8,1020.7,x
2015-01-20,1262,1254,1889,2490,21384,24858,2150,2640,28645,31636,-,10.1,-8.0,9.7,0.0,27.0,남남동,5.8,1026.4,x
2015-01-21,1254,1239,1875,2483,21402,25094,2131,2640,28856,31697,-,7.4,-3.7,6.3,0.0,45.0,북서,6.5,1020.8,x
2015-01-22,1233,1222,1910,2388,21743,25114,2092,2631,30504,31760,-,6.8,-0.4,4.3,2.5,60.0,북서,12.6,1015.9,x
2015-01-23,1241,1216,1910,2373,21955,24987,2094,2622,30779,31741,-,9.0,-6.4,8.2,0.0,33.0,북서,6.5,1021.6,x
2015-01-26,1228,1221,1912,2314,21955,24844,2159,2610,30611,31814,-,10.0,7.7,8.4,6.0,86.0,북서,11.5,1016.5,x
2015-01-27,1212,1231,1912,2335,21958,24561,2157,2622,31151,31793,-,7.9,-9.9,5.5,0.0,27.0,북서,14.0,1020.2,x
2015-01-28,1199,1241,1912,2382,21958,24634,2129,2625,30973,31834,-,5.1,-10.6,2.8,0.0,31.0,북북서,10.1,1025.8,x
2015-01-29,1203,1239,1911,2447,22794,24717,2130,2627,30938,31899,-,7.4,-2.3,4.8,0.0,50.0,남동,14.0,1025.4,x
2015-01-30,1203,1251,1894,2597,22698,24735,2140,2691,30762,31834,-,6.7,-11.0,2.9,0.0,27.0,북서,23.0,1020.8,x
2015-02-02,1210,1241,1920,2583,22914,24578,2186,2779,31156,31793,-,9.9,-10.8,9.0,0.0,22.0,남서,7.6,1029.1,x
2015-02-03,1214,1238,1920,2402,23357,24659,2206,2792,31330,31314,-,10.6,-6.2,10.6,0.0,30.0,서남서,4.7,1027.2,x
2015-02-04,1213,1238,1920,2417,23515,24537,2184,2801,31313,31230,-,8.9,-9.1,7.0,0.2,27.0,북서,11.9,1019.7,x
2015-02-05,1261,1239,1920,2441,23417,24682,2181,2813,31239,31363,-,6.9,-11.3,3.8,0.0,26.0,북서,16.9,1020.5,x
2015-02-06,1256,1240,1910,2449,23479,24534,2189,2826,31239,31517,-,8.7,-13.0,6.8,0.0,20.0,북서,11.5,1024.5,x
