,날짜,평균,평년,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압,태풍,태풍영향8,태풍영향10,태풍영향12,태풍영향14,태풍영향16,태풍영향18,태풍영향20
0,2015-01-02,1287,1561,-,2.1,-15.4,-2.3,0.0,26.0,북서,17.6,1021.4,0,x,x,x,x,x,x,x
1,2015-01-05,1287,1449,-,10.4,-3.3,10.4,0.0,38.0,서북서,2.9,1017.9,0,x,x,x,x,x,x,x
2,2015-01-06,1303,1432,-,9.1,-16.2,6.7,11.5,15.0,북서,15.8,1011.3,0,x,x,x,x,x,x,x
3,2015-01-07,1277,1411,-,2.5,-28.5,-1.6,0.0,8.0,북서,16.9,1018.0,0,x,x,x,x,x,x,x
4,2015-01-08,1352,1407,-,3.3,-19.4,-0.1,0.0,17.0,북서,13.7,1022.8,0,x,x,x,x,x,x,x
5,2015-01-09,1333,1403,-,5.1,-12.4,1.6,0.0,27.0,북서,16.6,1022.9,0,x,x,x,x,x,x,x
6,2015-01-12,1329,1352,-,4.9,-14.0,2.0,0.0,24.0,서북서,13.0,1033.5,0,x,x,x,x,x,x,x
7,2015-01-13,1329,1340,-,9.1,-8.9,7.7,0.0,27.0,서남서,9.0,1033.1,0,x,x,x,x,x,x,x
8,2015-01-14,1329,1326,-,5.3,-1.4,3.9,0.5,62.0,서북서,6.5,1025.3,0,x,x,x,x,x,x,x
9,2015-01-15,1262,1321,-,9.3,-1.4,6.6,0.5,47.0,북서,18.7,1020.1,0,x,x,x,x,x,x,x
10,2015-01-16,1258,1314,-,8.5,-5.3,5.7,0.0,37.0,북서,18.0,1017.4,0,x,x,x,x,x,x,x
11,2015-01-19,1253,1268,-,9.6,-11.7,7.3,0.0,21.0,북서,15.8,1020.7,0,x,x,x,x,x,x,x
12,2015-01-20,1262,1254,-,10.1,-8.0,9.7,0.0,27.0,남남동,5.8,1026.4,0,x,x,x,x,x,x,x
13,2015-01-21,1254,1239,-,7.4,-3.7,6.3,0.0,45.0,북서,6.5,1020.8,0,x,x,x,x,x,x,x
14,2015-01-22,1233,1222,-,6.8,-0.4,4.3,2.5,60.0,북서,12.6,1015.9,0,x,x,x,x,x,x,x
15,2015-01-23,1241,1216,-,9.0,-6.4,8.2,0.0,33.0,북서,6.5,1021.6,0,x,x,x,x,x,x,x
16,2015-01-26,1228,1221,-,10.0,7.7,8.4,6.0,86.0,북서,11.5,1016.5,0,x,x,x,x,x,x,x
17,2015-01-27,1212,1231,-,7.9,-9.9,5.5,0.0,27.0,북서,14.0,1020.2,0,x,x,x,x,x,x,x
18,2015-01-28,1199,1241,-,5.1,-10.6,2.8,0.0,31.0,북북서,10.1,1025.8,0,x,x,x,x,x,x,x
19,2015-01-29,1203,1239,-,7.4,-2.3,4.8,0.0,50.0,남동,14.0,1025.4,0,x,x,x,x,x,x,x
20,2015-01-30,1203,1251,-,6.7,-11.0,2.9,0.0,27.0,북서,23.0,1020.8,0,x,x,x,x,x,x,x
21,2015-02-02,1210,1241,-,9.9,-10.8,9.0,0.0,22.0,남서,7.6,1029.1,0,x,x,x,x,x,x,x
22,2015-02-03,1214,1238,-,10.6,-6.2,10.6,0.0,30.0,서남서,4.7,1027.2,0,x,x,x,x,x,x,x
23,2015-02-04,1213,1238,-,8.9,-9.1,7.0,0.2,27.0,북서,11.9,1019.7,0,x,x,x,x,x,x,x
24,2015-02-05,1261,1239,-,6.9,-11.3,3.8,0.0,26.0,북서,16.9,1020.5,0,x,x,x,x,x,x,x
25,2015-02-06,1256,1240,-,8.7,-13.0,6.8,0.0,20.0,북서,11.5,1024.5,0,x,x,x,x,x,x,x
26,2015-02-09,1261,1231,-,0.7,-27.5,-4.8,0.0,10.0,서북서,23.4,1026.1,0,x,x,x,x,x,x,x
27,2015-02-10,1248,1229,-,8.9,-10.6,7.1,0.0,24.0,서,11.5,1017.6,0,x,x,x,x,x,x,x
28,2015-02-11,1248,1226,-,10.5,-5.9,8.7,0.0,31.0,서,13.3,1012.9,0,x,x,x,x,x,x,x
29,2015-02-12,1204,1222,-,8.6,-20.3,6.3,0.0,11.0,북서,14.0,1009.9,0,x,x,x,x,x,x,x
30,2015-02-13,1213,1227,-,6.1,-21.2,3.4,0.0,12.0,북서,13.0,1017.6,0,x,x,x,x,x,x,x
31,2015-02-16,1204,1270,-,7.5,2.7,7.5,8.5,72.0,서,2.2,1014.4,0,x,x,x,x,x,x,x
32,2015-02-17,1202,1282,-,8.8,-7.0,6.4,0.0,32.0,북서,15.5,1013.2,0,x,x,x,x,x,x,x
33,2015-02-23,1205,1323,-,10.9,-8.9,9.4,0.0,24.0,북서,11.9,1017.6,0,x,x,x,x,x,x,x
34,2015-02-24,1212,1325,-,11.4,-14.3,10.0,0.0,15.0,서북서,11.9,1016.6,0,x,x,x,x,x,x,x
35,2015-02-25,1229,1325,-,12.2,-1.0,10.8,0.0,40.0,남남동,13.3,1018.9,0,x,x,x,x,x,x,x
36,2015-02-26,1295,1320,-,13.5,-7.8,12.1,0.0,22.0,북서,16.2,1014.5,0,x,x,x,x,x,x,x
37,2015-02-27,1300,1308,-,4.4,-20.0,1.1,0.0,15.0,북서,14.4,1025.5,0,x,x,x,x,x,x,x
38,2015-03-02,1300,1281,-,11.0,-13.9,10.0,0.0,16.0,서남서,9.0,1019.3,0,x,x,x,x,x,x,x
39,2015-03-03,1297,1274,-,3.3,2.8,1.2,9.0,97.0,서북서,7.9,1012.3,0,x,x,x,x,x,x,x
40,2015-03-04,1297,1260,-,6.0,-15.9,2.2,0.0,19.0,북서,21.2,1017.9,0,x,x,x,x,x,x,x
41,2015-03-05,1288,1247,-,8.9,-10.1,7.7,0.0,25.0,남남서,7.9,1025.6,0,x,x,x,x,x,x,x
42,2015-03-06,1272,1245,-,10.7,-4.9,9.2,0.0,33.0,남동,11.5,1022.7,0,x,x,x,x,x,x,x
