date,avg_apple,avgY_apple
2015-01-05,21350,22826
2015-01-06,21717,22882
2015-01-07,21944,22949
2015-01-08,21442,22809
2015-01-09,21476,22827
2015-01-12,21495,23395
2015-01-13,21302,23518
2015-01-14,21302,23797
2015-01-15,21208,23878
2015-01-16,21239,23902
2015-01-19,21376,24812
2015-01-20,21384,24858
2015-01-21,21402,25094
2015-01-22,21743,25114
2015-01-23,21955,24987
2015-01-26,21955,24844
2015-01-27,21958,24561
2015-01-28,21958,24634
2015-01-29,22794,24717
2015-01-30,22698,24735
2015-02-02,22914,24578
2015-02-03,23357,24659
2015-02-04,23515,24537
2015-02-05,23417,24682
2015-02-06,23479,24534
2015-02-09,23679,24607
2015-02-10,23626,24508
2015-02-11,23699,24442
2015-02-12,24995,24186
2015-02-13,25132,24154
2015-02-16,26372,23726
2015-02-17,26085,23752
2015-02-23,26290,23779
2015-02-24,26190,23726
2015-02-25,25880,23674
2015-02-26,25330,23785
2015-02-27,25210,23671
2015-03-02,25251,23555
2015-03-03,24657,23497
2015-03-04,24771,23546
2015-03-05,24789,23498
2015-03-06,24266,23585
2015-03-09,24617,23252
2015-03-10,24907,23492
2015-03-11,24907,23465
2015-03-12,23828,23437
2015-03-13,23220,23576
2015-03-16,23023,23868
2015-03-17,22854,23663
2015-03-18,22953,23636
2015-03-19,23041,23577
2015-03-20,22942,23437
2015-03-23,22942,23081
2015-03-24,22942,22986
2015-03-25,22942,23085
2015-03-26,22937,23156
2015-03-27,22937,23248
2015-03-30,22602,23544
2015-03-31,22602,23677
2015-04-02,22557,23787
2015-04-03,22557,24098
2015-04-06,22818,24194
2015-04-07,23076,24190
2015-04-08,22934,24186
2015-04-09,23025,23880
2015-04-10,23025,23711
2015-04-13,23348,23302
2015-04-14,23348,23094
2015-04-15,23389,23035
2015-04-16,23784,23133
2015-04-17,23784,23361
2015-04-20,23901,24684
2015-04-21,23841,24770
2015-04-22,23841,24292
2015-04-23,23989,24199
2015-04-24,23775,24311
2015-04-27,23775,24126
2015-04-28,24053,24155
2015-04-29,24053,24166
2015-04-30,24230,24351
2015-05-04,24230,24618
2015-05-06,24396,24687
2015-05-07,24276,24722
2015-05-08,24292,24761
2015-05-11,24307,24848
2015-05-12,24130,24858
2015-05-13,24366,24943
2015-05-14,24366,25013
2015-05-15,24366,25161
2015-05-18,24351,25419
2015-05-19,24407,25607
2015-05-20,24407,25697
2015-05-21,24088,25792
2015-05-22,24412,25738
2015-05-26,24412,25971
2015-05-27,24412,25983
2015-05-28,24499,25840
2015-05-29,24252,25831
2015-06-01,24681,25887
2015-06-02,24681,25904
2015-06-03,24681,25947
2015-06-04,24511,25961
2015-06-05,24600,26085
2015-06-08,24864,26004
2015-06-09,24859,26014
2015-06-10,24859,26040
2015-06-11,25068,25965
2015-06-12,25240,26139
2015-06-15,25222,26170
2015-06-16,25222,26264
2015-06-17,25134,26473
2015-06-18,24703,26483
2015-06-19,24703,26485
2015-06-22,24703,26445
2015-06-23,24607,26466
2015-06-24,24607,26746
2015-06-25,25179,26785
2015-06-26,25179,26821
2015-06-29,25487,27102
2015-06-30,25552,27136
2015-07-02,25283,27087
2015-07-03,25283,27299
2015-07-06,25307,27500
2015-07-07,25494,27596
2015-07-08,25494,27677
2015-07-09,25599,27885
2015-07-10,25599,27915
2015-07-13,25565,27810
2015-07-14,25965,27832
2015-07-15,25965,27883
2015-07-16,26085,27871
2015-07-17,26130,27940
2015-07-20,26130,28099
2015-07-21,26130,28112
2015-07-22,26130,28143
2015-07-23,26180,27978
2015-07-24,26180,28081
2015-07-27,26065,28203
2015-07-28,26065,28059
2015-07-29,26065,28234
2015-07-30,26119,28167
2015-07-31,26119,28169
2015-08-03,26404,28285
2015-08-04,26304,28533
2015-08-05,26304,28522
2015-08-06,26375,28429
2015-08-07,26375,28343
2015-08-10,26375,28214
2015-08-11,26480,28135
2015-08-12,26303,28579
2015-08-13,26303,28551
2015-08-17,26341,28779
2015-08-18,26341,29223
2015-08-19,26224,29226
2015-08-20,26165,29218
2015-08-21,26341,29153
2015-08-24,26341,28842
2015-08-25,26341,28848
2015-08-26,26113,29313
2015-08-27,25914,29270
2015-08-28,25914,29270
2015-08-31,25250,29781
