date,avg_baechoo,avgY_baechoo
2015-01-02,1957,1904
2015-01-05,1957,3466
2015-01-06,1980,3481
2015-01-07,1957,2670
2015-01-08,1959,2607
2015-01-09,1936,2597
2015-01-12,1936,2382
2015-01-13,1928,2421
2015-01-14,1913,2479
2015-01-15,1907,2473
2015-01-16,1896,2473
2015-01-19,1896,2470
2015-01-20,1889,2490
2015-01-21,1875,2483
2015-01-22,1910,2388
2015-01-23,1910,2373
2015-01-26,1912,2314
2015-01-27,1912,2335
2015-01-28,1912,2382
2015-01-29,1911,2447
2015-01-30,1894,2597
2015-02-02,1920,2583
2015-02-03,1920,2402
2015-02-04,1920,2417
2015-02-05,1920,2441
2015-02-06,1910,2449
2015-02-09,1919,2487
2015-02-10,1914,2542
2015-02-11,1950,2538
2015-02-12,1884,2586
2015-02-13,1881,2604
2015-02-16,1923,2638
2015-02-17,1952,2604
2015-02-23,2094,2997
2015-02-24,2067,2989
2015-02-25,2079,3022
2015-02-26,2082,3072
2015-02-27,2115,3119
2015-03-02,2166,3154
2015-03-03,2174,3157
2015-03-04,2202,3171
2015-03-05,2216,3253
2015-03-06,2216,3341
2015-03-09,2258,3385
2015-03-10,2293,3388
2015-03-11,2271,3349
2015-03-12,2286,3354
2015-03-13,2308,3429
2015-03-16,2289,3386
2015-03-17,2280,3399
2015-03-18,2305,3443
2015-03-19,2310,3445
2015-03-20,2340,3445
2015-03-23,2371,3429
2015-03-24,2401,3417
2015-03-25,2401,3400
2015-03-26,2406,3398
2015-03-27,2415,3388
2015-03-30,2442,3373
2015-03-31,2480,3379
2015-04-01,2486,3335
2015-04-02,2509,3440
2015-04-03,2529,3506
2015-04-06,2546,3280
2015-04-07,2559,3260
2015-04-08,2568,3334
2015-04-09,2538,3353
2015-04-10,2538,3375
2015-04-13,2516,3498
2015-04-14,2565,3440
2015-04-15,2574,3433
2015-04-16,2617,3425
2015-04-17,2640,3476
2015-04-20,2697,3468
2015-04-21,2780,3312
2015-04-22,2795,3233
2015-04-23,2738,2977
2015-04-24,2719,2963
2015-04-27,2768,3137
2015-04-28,2779,3178
2015-04-29,2807,2902
2015-04-30,2715,2788
2015-05-04,2712,2697
2015-05-06,2913,2680
2015-05-07,2962,2698
2015-05-08,2972,2666
2015-05-11,2972,2626
2015-05-12,2855,2618
2015-05-13,2870,2393
2015-05-14,2870,2380
2015-05-15,2870,2380
