date,평균,평년
2019-10-01,1287,1561
2019-10-02,1287,1449
2019-10-04,1303,1432
2019-10-07,1277,1411
2019-10-08,1352,1407
2019-10-10,1333,1403
2019-10-11,1329,1352
2019-10-14,1329,1340
2019-10-15,1329,1326
2019-10-16,1262,1321
2019-10-17,1258,1314
2019-10-18,1253,1268
2019-10-21,1262,1254
2019-10-22,1254,1239
2019-10-23,1233,1222
2019-10-24,1241,1216
2019-10-25,1228,1221
2019-10-28,1212,1231
2019-10-29,1199,1241
2019-10-30,1203,1239
2019-10-31,1203,1251
2019-11-01,1210,1241
2019-11-04,1214,1238
2019-11-05,1213,1238
2019-11-06,1261,1239
2019-11-07,1256,1240
2019-11-08,1261,1231
2019-11-11,1248,1229
2019-11-12,1248,1226
2019-11-13,1204,1222
2019-11-14,1213,1227
2019-11-15,1204,1270
2019-11-18,1202,1282
2019-11-19,1205,1323
2019-11-20,1212,1325
2019-11-21,1229,1325
2019-11-22,1295,1320
2019-11-25,1300,1308
2019-11-26,1300,1281
2019-11-27,1297,1274
2019-11-28,1297,1260
2019-11-29,1288,1247
2019-12-02,1272,1245
2019-12-03,1286,1243
2019-12-04,1286,1246
2019-12-05,1275,1250
2019-12-09,1246,1252
2019-12-10,1241,1255
2019-12-11,1248,1283
2019-12-12,1253,1288
2019-12-13,1260,1297
2019-12-16,1257,1305
2019-12-17,1239,1310
2019-12-18,1261,1304
2019-12-19,1261,1300
2019-12-20,1250,1298
2019-12-23,1297,1295
2019-12-24,1283,1290
2019-12-26,1283,1287
2019-12-27,1286,1298
2019-10-01,1283,1307
2019-10-02,1303,1314
2019-10-04,1271,1314
2019-10-07,1283,1314
2019-10-08,1283,1325
2019-10-10,1283,1337
2019-10-11,1334,1348
2019-10-14,1338,1353
2019-10-15,1321,1378
2019-10-16,1317,1379
2019-10-17,1317,1380
2019-10-18,1354,1380
2019-10-21,1326,1380
2019-10-22,1334,1367
2019-10-23,1346,1371
2019-10-24,1344,1379
2019-10-25,1363,1389
2019-10-28,1342,1402
2019-10-29,1341,1432
2019-10-30,1341,1437
2019-10-31,1336,1440
2019-11-01,1332,1446
2019-11-04,1330,1471
2019-11-05,1341,1480
2019-11-06,1309,1493
2019-11-07,1318,1506
2019-11-08,1308,1588
2019-11-11,1322,1597
2019-11-12,1322,1618
2019-11-13,1322,1624
2019-11-14,1322,1631
2019-11-15,1374,1684
2019-11-18,1388,1684
2019-11-19,1385,1707
2019-11-20,1389,1746
2019-11-21,1386,1786
2019-11-22,1434,1740
2019-11-25,1438,1719
2019-11-26,1438,1711
2019-11-27,1466,1737
2019-11-28,1617,1740
2019-11-29,1744,1765
2019-12-02,1744,1780
2019-12-03,1789,1784
2019-12-04,1812,1796
2019-12-05,1794,1747
2019-12-09,1808,1727
2019-12-10,1808,1720
2019-12-11,1836,1692
2019-12-12,1839,1695
2019-12-13,1835,1719
2019-12-16,1835,1702
2019-12-17,1834,1704
2019-12-18,1797,1710
2019-12-19,1797,1709
2019-12-20,1838,1709
2019-12-23,1850,1706
2019-12-24,1844,1702
2019-12-26,1828,1699
2019-12-27,1830,1701
2019-12-30,1882,1707
2019-12-31,1888,1717
2019-10-01,1881,1716
2019-10-02,1837,1720
2019-10-04,1850,1730
2019-10-07,1957,1778
2019-10-08,1939,1793
2019-10-10,2033,1806
2019-10-11,2254,1820
2019-10-14,2249,1820
2019-10-15,2304,1821
2019-10-16,2286,1826
2019-10-17,2306,1825
2019-10-18,2455,1827
2019-10-21,2403,1824
2019-10-22,2404,1854
2019-10-23,2400,1878
2019-10-24,2380,1905
2019-10-25,2302,1931
2019-10-28,2302,1940
2019-10-29,2240,2014
2019-10-30,2244,2057
2019-10-31,2213,2091
2019-11-01,2133,2108
2019-11-04,2139,2115
2019-11-05,2133,2161
2019-11-06,2114,2092
2019-11-07,2114,2098
2019-11-08,2039,2111
2019-11-11,2035,2195
2019-11-12,2026,2468
2019-11-13,1992,2448
2019-11-14,1993,2450
2019-11-15,1855,2462
2019-11-18,1798,2300
2019-11-19,1793,2224
2019-11-20,1809,2195
2019-11-21,1876,2227
2019-11-22,1870,2229
2019-11-25,1870,2228
2019-11-26,1870,2237
2019-11-27,1883,2234
2019-11-28,1861,2241
2019-11-29,1858,2247
2019-12-02,1854,2193
2019-12-03,1832,2194
2019-12-04,1813,2198
2019-12-05,1774,2207
2019-12-09,1769,2212
2019-12-10,1785,2209
2019-12-11,1795,2213
2019-12-12,1777,2217
2019-12-13,1716,2233
2019-12-16,1687,2232
2019-12-17,1702,2248
2019-12-18,1679,2246
2019-12-19,1669,2254
2019-12-20,1597,2271
2019-12-23,1577,2286
2019-12-24,1504,2293
2019-12-26,1505,2262
2019-12-27,1512,2248
2019-12-30,1537,2256
2019-12-31,1518,2283
,1486,2387
2019-10-01,1496,2390
2019-10-02,1469,2398
2019-10-04,1472,2447
2019-10-07,1445,2445
2019-10-08,1451,2449
2019-10-10,1543,2439
2019-10-11,1538,2439
2019-10-14,1538,2465
2019-10-15,1449,2441
2019-10-16,1383,2405
2019-10-17,1349,2381
2019-10-18,1357,2251
2019-10-21,1359,2221
2019-10-22,1350,2171
2019-10-23,1356,2153
2019-10-24,1350,2146
2019-10-25,1362,2095
2019-10-28,1361,2136
2019-10-29,1361,2143
2019-10-30,1336,2132
2019-10-31,1330,2196
2019-11-01,1360,1800
2019-11-04,1354,1856
2019-11-05,1315,1831
2019-11-06,1360,1762
2019-11-07,1354,1751
2019-11-08,1353,1673
2019-11-11,1347,1722
2019-11-12,1340,1682
2019-11-13,1353,1693
2019-11-14,1343,1670
2019-11-15,1354,1724
2019-11-18,1354,1664
2019-11-19,1364,1521
2019-11-20,1340,1524
2019-11-21,1338,1550
2019-11-22,1354,1502
2019-11-25,1354,1528
2019-11-26,1359,1530
2019-11-27,1370,1534
2019-11-28,1370,1535
2019-11-29,1377,1545
2019-12-02,1387,1551
2019-12-03,1397,1558
2019-12-04,1408,1574
2019-12-05,1432,1631
2019-12-09,1432,1639
2019-12-10,1432,1658
2019-12-11,1360,1655
2019-12-12,1373,1693
2019-12-13,1375,1783
2019-12-16,1326,1785
2019-12-17,1333,1783
2019-12-18,1340,1578
2019-12-19,1333,1566
2019-12-20,1324,1517
2019-12-23,1331,1622
2019-12-24,1326,1611
2019-12-26,1351,1598
2019-12-27,1359,1564
2019-12-30,1355,1613
2019-12-31,1309,1630
,1306,1608
2019-10-01,1305,1544
2019-10-02,1315,1571
2019-10-04,1337,1549
2019-10-07,1279,1524
2019-10-08,1251,1529
2019-10-10,1270,1494
2019-10-11,1270,1470
2019-10-14,1269,1445
2019-10-15,1315,1420
2019-10-16,1315,1405
2019-10-17,1342,1358
2019-10-18,1336,1337
2019-10-21,1336,1320
2019-10-22,1336,1306
2019-10-23,1345,1291
2019-10-24,1424,1289
2019-10-25,1506,1292
2019-10-28,1542,1301
2019-10-29,1688,1309
2019-10-30,1752,1302
2019-10-31,1811,1310
2019-11-01,1900,1311
2019-11-04,1910,1307
2019-11-05,2126,1306
2019-11-06,2079,1305
2019-11-07,1985,1278
2019-11-08,1926,1272
2019-11-11,1905,1297
2019-11-12,1879,1312
2019-11-13,1879,1328
2019-11-14,1742,1341
2019-11-15,1739,1353
2019-11-18,1751,1358
2019-11-19,1744,1359
2019-11-20,1733,1364
2019-11-21,1721,1370
2019-11-22,1712,1370
2019-11-25,1729,1343
2019-11-26,1770,1331
2019-11-27,1827,1314
2019-11-28,1813,1292
2019-11-29,1813,1266
2019-12-02,1809,1261
2019-12-03,1825,1259
2019-12-04,1915,1263
2019-12-05,1928,1266
2019-12-09,1934,1272
2019-12-10,1918,1289
2019-12-11,1918,1307
2019-12-12,1931,1315
2019-12-13,1921,1325
2019-12-16,1915,1335
2019-12-17,1844,1333
2019-12-18,1892,1329
2019-12-19,1907,1326
2019-12-20,1901,1324
2019-12-23,1904,1317
2019-12-24,1909,1321
2019-12-26,1912,1326
2019-12-27,1921,1334
2019-10-01,1898,1341
2019-10-02,1908,1334
2019-10-04,1908,1337
2019-10-07,1928,1341
2019-10-08,1891,1351
2019-10-10,1881,1364
2019-10-11,1891,1387
2019-10-14,1957,1396
2019-10-15,2078,1400
2019-10-16,2114,1398
2019-10-17,2162,1395
2019-10-18,2181,1387
2019-10-21,2197,1383
2019-10-22,2197,1382
2019-10-23,2199,1385
2019-10-24,2208,1404
2019-10-25,2188,1410
2019-10-28,2174,1412
2019-10-29,2115,1393
2019-10-30,2104,1390
2019-10-31,2118,1395
2019-11-01,2098,1397
2019-11-04,2098,1401
2019-11-05,2197,1425
2019-11-06,2192,1431
2019-11-07,2192,1420
2019-11-08,2224,1411
2019-11-11,2219,1422
2019-11-12,2255,1451
2019-11-13,2227,1550
2019-11-14,2230,1559
2019-11-15,2211,1561
2019-11-18,2179,1574
2019-11-19,2185,1632
2019-11-20,2185,1589
2019-11-21,2185,1601
2019-11-22,2161,1604
2019-11-25,2152,1628
2019-11-26,2134,1689
2019-11-27,2092,1696
2019-11-28,2054,1699
2019-11-29,1991,1699
2019-12-02,1952,1722
2019-12-03,1971,1732
2019-12-04,1910,1714
2019-12-05,1862,1665
2019-12-09,1820,1649
