date,avg_pear,avgY_pear
2015-01-05,29208,30482
2015-01-06,29496,30531
2015-01-07,29578,30600
2015-01-08,28685,30718
2015-01-09,28639,30809
2015-01-12,28712,31148
2015-01-13,28442,31286
2015-01-14,28488,31346
2015-01-15,28697,31378
2015-01-16,28121,31467
2015-01-19,28491,31635
2015-01-20,28645,31636
2015-01-21,28856,31697
2015-01-22,30504,31760
2015-01-23,30779,31741
2015-01-26,30611,31814
2015-01-27,31151,31793
2015-01-28,30973,31834
2015-01-29,30938,31899
2015-01-30,30762,31834
2015-02-02,31156,31793
2015-02-03,31330,31314
2015-02-04,31313,31230
2015-02-05,31239,31363
2015-02-06,31239,31517
2015-02-09,31384,31256
2015-02-10,31538,31222
2015-02-11,31580,31145
2015-02-12,31738,31123
2015-02-13,31666,31150
2015-02-16,31333,31265
2015-02-17,31457,31257
2015-02-23,31716,31289
2015-02-24,32185,31484
2015-02-25,31585,31584
2015-02-26,31621,31625
2015-02-27,31576,31583
2015-03-02,31971,31522
2015-03-03,31884,31561
2015-03-04,31884,31534
2015-03-05,32454,31457
2015-03-06,32135,31343
2015-03-09,31916,30976
2015-03-10,31803,30978
2015-03-11,31416,30932
2015-03-12,30425,30927
2015-03-13,30425,30942
2015-03-16,30671,30998
2015-03-17,30671,30996
2015-03-18,30671,31068
2015-03-19,29154,31096
2015-03-20,28882,31155
2015-03-23,28882,31307
2015-03-24,29233,31375
2015-03-25,29311,31356
2015-03-26,30931,31300
2015-03-27,31295,31290
2015-03-30,31431,31567
2015-03-31,31494,31473
2015-04-02,28992,31360
2015-04-03,28992,31295
2015-04-06,28992,31272
2015-04-07,29361,31289
2015-04-08,29127,31367
2015-04-09,28819,31334
2015-04-10,28887,31436
2015-04-13,28888,31629
2015-04-14,28798,31591
2015-04-15,29101,31626
2015-04-16,27978,31707
2015-04-17,28063,31759
2015-04-20,28115,31639
2015-04-21,28115,31647
2015-04-22,28112,31633
2015-04-23,28699,31623
2015-04-24,28699,31488
2015-04-27,28699,31613
2015-04-28,28699,31598
2015-04-29,28699,31598
2015-04-30,29051,31584
2015-05-04,29051,31617
2015-05-06,29051,31613
2015-05-07,29127,31600
2015-05-08,29127,31792
2015-05-11,29259,32026
2015-05-12,29207,32108
2015-05-13,29207,32100
2015-05-14,29207,32081
2015-05-15,29207,32008
2015-05-18,30028,32086
2015-05-19,30028,32149
2015-05-20,30028,32114
2015-05-21,30182,32122
2015-05-22,30312,32081
2015-05-26,30312,32462
2015-05-27,30312,32537
2015-05-28,30327,32691
2015-05-29,30462,32711
2015-06-01,30266,32931
2015-06-02,30279,32779
2015-06-03,30001,32905
2015-06-04,29956,32920
2015-06-05,30055,32857
2015-06-08,30064,32926
2015-06-09,30064,32889
2015-06-10,30064,32899
2015-06-11,30362,32907
2015-06-12,30278,32984
2015-06-15,30278,33548
2015-06-16,30046,33709
2015-06-17,30046,33860
2015-06-18,30046,33998
2015-06-19,30046,33999
2015-06-22,30506,34342
2015-06-23,30506,34472
2015-06-24,30453,34396
2015-06-25,30453,34506
2015-06-26,29995,34753
2015-06-29,30186,35363
2015-06-30,30239,35454
2015-07-02,30231,35041
2015-07-03,30624,35028
2015-07-06,30515,35093
2015-07-07,30515,35117
2015-07-08,30472,35289
2015-07-09,30897,35437
2015-07-10,30897,35561
2015-07-13,30897,35777
2015-07-14,30897,35782
2015-07-15,30266,35774
2015-07-16,30266,35938
2015-07-17,30266,35975
2015-07-20,30266,35492
2015-07-21,30266,35509
2015-07-22,30266,35071
2015-07-23,29092,35078
2015-07-24,27778,35105
2015-07-27,26810,35119
2015-07-28,26810,35248
2015-07-29,26310,34963
2015-07-30,26134,35213
2015-07-31,26134,35234
2015-08-03,26134,35119
2015-08-04,27073,35308
2015-08-05,27073,35327
2015-08-06,27451,35360
2015-08-07,28253,35288
2015-08-10,29019,34876
2015-08-11,29224,34336
2015-08-12,29224,34264
2015-08-13,29224,34068
2015-08-17,29224,32054
2015-08-18,29224,31406
2015-08-19,29473,31663
2015-08-20,28847,30777
2015-08-21,28961,30660
2015-08-24,27744,30799
2015-08-25,27619,30722
2015-08-26,26488,31506
2015-08-27,26271,30348
2015-08-28,26271,30147
2015-08-31,25817,30352
2015-09-01,25891,29967
2015-09-02,25891,28923
2015-09-03,25891,29257
2015-09-04,25591,30545
2015-09-07,25933,30424
2015-09-08,26735,30531
2015-09-09,26880,30562
2015-09-10,27301,32564
2015-09-11,27079,32590
2015-09-14,27012,32102
2015-09-15,27402,32159
2015-09-16,27117,32022
2015-09-17,27347,32558
2015-09-18,27271,32465
2015-09-21,28880,32000
2015-09-22,28860,31959
2015-09-23,28900,31527
2015-09-24,28862,31060
2015-09-25,28968,31064
2015-09-30,28778,31526
2015-10-02,28520,30898
2015-10-05,28282,30264
2015-10-06,27788,30028
2015-10-07,27873,30100
2015-10-08,28113,29789
2015-10-12,28439,29771
2015-10-13,28144,29698
2015-10-14,28180,29695
2015-10-15,28225,29786
2015-10-16,28225,29432
2015-10-19,27679,29328
2015-10-20,27928,29389
2015-10-21,27928,29468
2015-10-22,27574,29520
2015-10-23,27829,29449
2015-10-26,28104,29278
2015-10-27,27909,29024
2015-10-28,27847,28975
2015-10-29,27342,28856
2015-10-30,27142,28819
2015-11-02,27142,28784
2015-11-03,27142,28881
2015-11-04,27142,28958
2015-11-05,26551,29063
2015-11-06,26453,29079
2015-11-09,26883,28956
2015-11-10,27360,28993
2015-11-11,27360,28903
2015-11-12,27676,28908
2015-11-13,27775,28917
2015-11-16,28060,28936
2015-11-17,28060,29051
2015-11-18,28060,29222
2015-11-19,27536,29314
2015-11-20,27536,29534
2015-11-23,27451,29855
2015-11-24,27401,29895
2015-11-25,27401,29897
2015-11-26,26806,29756
2015-11-27,27507,29738
2015-11-30,27483,29675
2015-12-01,27483,29690
2015-12-02,27483,29677
2015-12-03,28211,29760
2015-12-07,28678,29735
2015-12-08,28678,29848
2015-12-09,28678,30079
2015-12-10,28678,30218
2015-12-11,28678,30244
2015-12-14,28678,30503
2015-12-15,28678,30552
2015-12-16,28678,30617
2015-12-17,27737,30536
2015-12-18,27737,30616
2015-12-21,27780,30726
2015-12-22,27962,30787
2015-12-23,27962,30841
2015-12-24,29208,30856
2015-12-28,29335,30890
2015-12-29,29335,30850
2015-12-30,29335,30806
2015-12-31,29217,30844
2016-01-05,29522,31091
2016-01-06,29522,31095
2016-01-07,29322,31137
2016-01-08,29322,31198
2016-01-11,29371,31468
2016-01-12,29711,31534
2016-01-13,29796,31655
2016-01-14,30320,31665
2016-01-15,30320,31657
2016-01-18,30415,31843
2016-01-19,30570,31882
2016-01-20,30570,31956
2016-01-21,30493,32086
2016-01-22,30379,32256
2016-01-25,30428,32351
2016-01-26,30513,32415
2016-01-27,30637,32398
2016-01-28,30644,32410
2016-01-29,30644,32317
2016-02-01,31128,32397
2016-02-02,30844,32308
2016-02-03,30575,32083
2016-02-04,30256,32074
2016-02-05,30222,32130
2016-02-11,29813,32016
2016-02-12,30274,31971
2016-02-15,30229,32059
2016-02-16,30229,32069
2016-02-17,30904,32095
2016-02-18,30541,32033
2016-02-19,30576,32056
2016-02-22,30576,32147
2016-02-23,30743,32172
2016-02-24,30946,32391
2016-02-25,31317,32485
2016-02-26,31317,32558
2016-02-29,31108,29738
2016-03-02,31108,32483
2016-03-03,31158,32437
2016-03-04,31163,32459
2016-03-07,31622,32234
2016-03-08,31519,32185
2016-03-09,31669,32107
2016-03-10,31888,32061
2016-03-11,31755,31981
2016-03-14,31401,31801
2016-03-15,31401,31847
2016-03-16,31401,31911
