date,avg_scallion,avgY_scallion
2015-01-05,2375,2697
2015-01-06,2397,2697
2015-01-07,2383,2692
2015-01-08,2340,2676
2015-01-09,2344,2654
2015-01-12,2311,2591
2015-01-13,2287,2584
2015-01-14,2296,2585
2015-01-15,2220,2593
2015-01-16,2159,2608
2015-01-19,2157,2632
2015-01-20,2150,2640
2015-01-21,2131,2640
2015-01-22,2092,2631
2015-01-23,2094,2622
2015-01-26,2159,2610
2015-01-27,2157,2622
2015-01-28,2129,2625
2015-01-29,2130,2627
2015-01-30,2140,2691
2015-02-02,2186,2779
2015-02-03,2206,2792
2015-02-04,2184,2801
2015-02-05,2181,2813
2015-02-06,2189,2826
2015-02-09,2200,2852
2015-02-10,2241,2825
2015-02-11,2253,2811
2015-02-12,2437,2804
2015-02-13,2467,2815
2015-02-16,2586,2802
2015-02-17,2690,2802
2015-02-23,2640,2830
2015-02-24,2581,2841
2015-02-25,2606,2835
2015-02-26,2578,2821
2015-02-27,2610,2814
2015-03-02,2566,2777
2015-03-03,2567,2759
2015-03-04,2571,2734
2015-03-05,2607,2708
2015-03-06,2602,2691
2015-03-09,2628,2676
2015-03-10,2633,2686
2015-03-11,2634,2692
2015-03-12,2566,2700
2015-03-13,2564,2702
2015-03-16,2574,2769
2015-03-17,2522,2779
2015-03-18,2518,2781
2015-03-19,2690,2783
2015-03-20,2601,2778
2015-03-23,2619,2736
2015-03-24,2616,2707
2015-03-25,2604,2677
2015-03-26,2587,2651
2015-03-27,2597,2625
2015-03-30,2587,2563
2015-03-31,2550,2549
2015-04-02,2582,2550
2015-04-03,2459,2543
2015-04-06,2461,2524
2015-04-07,2451,2527
2015-04-08,2444,2526
2015-04-09,2537,2531
2015-04-10,2559,2544
2015-04-13,2516,2549
2015-04-14,2500,2538
2015-04-15,2488,2520
2015-04-16,2515,2503
2015-04-17,2505,2487
2015-04-20,2499,2427
2015-04-21,2493,2397
2015-04-22,2480,2366
2015-04-23,2546,2344
2015-04-24,2375,2343
2015-04-27,2380,2297
2015-04-28,2365,2319
2015-04-29,2361,2327
2015-04-30,2301,2340
2015-05-04,2332,2299
2015-05-06,2406,2298
2015-05-07,2567,2293
2015-05-08,2704,2295
2015-05-11,2746,2337
2015-05-12,2788,2348
2015-05-13,2822,2356
2015-05-14,2822,2373
2015-05-15,2822,2382
2015-05-18,3032,2413
2015-05-19,3024,2425
2015-05-20,3041,2428
2015-05-21,3015,2426
2015-05-22,2983,2424
2015-05-26,3030,2417
2015-05-27,3101,2409
2015-05-28,3189,2394
2015-05-29,3341,2402
2015-06-01,3404,2437
2015-06-02,3462,2436
2015-06-03,3481,2429
2015-06-04,3640,2427
2015-06-05,3767,2442
2015-06-08,3718,2452
2015-06-09,3699,2461
2015-06-10,3711,2468
2015-06-11,3797,2461
2015-06-12,3766,2446
2015-06-15,3731,2408
2015-06-16,3739,2406
2015-06-17,3734,2407
2015-06-18,3689,2403
2015-06-19,3580,2397
2015-06-22,3580,2381
2015-06-23,3573,2382
2015-06-24,3520,2365
2015-06-25,3375,2354
2015-06-26,3380,2350
2015-06-29,3338,2302
2015-06-30,3322,2292
2015-07-02,3324,2283
2015-07-03,3297,2227
2015-07-06,3269,2200
2015-07-07,3250,2181
2015-07-08,3268,2175
2015-07-09,3249,2159
2015-07-10,3205,2150
2015-07-13,3228,2166
2015-07-14,3225,2187
2015-07-15,3225,2208
2015-07-16,3231,2224
2015-07-17,3296,2222
2015-07-20,3300,2227
2015-07-21,3256,2217
2015-07-22,3238,2216
2015-07-23,3218,2205
2015-07-24,3182,2207
2015-07-27,3191,2195
2015-07-28,3188,2181
2015-07-29,3183,2169
2015-07-30,3133,2156
2015-07-31,3138,2149
2015-08-03,3142,2147
2015-08-04,3165,2145
2015-08-05,3171,2149
2015-08-06,3099,2151
2015-08-07,3091,2151
2015-08-10,3077,2150
2015-08-11,3093,2151
2015-08-12,3101,2160
2015-08-13,3107,2190
