태풍명,발생,소멸,,,,,,,,,,,,,,,,,,,,,,
찬홈,2015.06.30 12:00,2015.07.12 21:00,,,,,,,,,,,,,,,,,,,,,,
낭카,2015.07.03 18:00,2015.07.17 18:00,,,,,,,,,,,,,,,,,,,,,,
할롤라,2015.07.13 00:00,2015.07.26 15:00,,,,,,,,,,,,,,,,,,,,,,
고니,2015.08.14 18:00,2015.08.25 21:00,,,,,,,,,,,,,,,,,,,,,,
말라카스,2016.09.12 18:00,2016.09.20 09:00,,,,,,,,,,,,,,,,,,,,,,
차바,2016.09.27 18:00,2016.10.05 15:00,,,,,,,,,,,,,,,,,,,,,,
난마돌,2017.07.02 00:00,2017.07.04 18:00,,,,,,,,,,,,,,,,,,,,,,
노루,2017.07.21 00:00,2017.08.08 06:00,,,,,,,,,,,,,,,,,,,,,,
탈림,2017.09.09 12:00,2017.09.18 00:00,,,,,,,,,,,,,,,,,,,,,,
쁘라삐룬,2018.06.29 00:00,2018.07.04 09:00,,,,,,,,,,,,,,,,,,,,,,
룸비아,2018.08.15 06:00,2018.08.18 00:00,,,,,,,,,,,,,,,,,,,,,,
솔릭,2018.08.16 00:00,2018.08.24 18:00,,,,,,,,,,,,,,,,,,,,,,
짜미,2018.09.21 12:00,2018.10.01 06:00,,,,,,,,,,,,,,,,,,,,,,
다나스,2019.07.16 06:00,2019.07.20 03:00,,,,,,,,,,,,,,,,,,,,,,
레끼마,2019.08.04 06:00,2019.08.12 12:00,,,,,,,,,,,,,,,,,,,,,,
크로사,2019.08.06 06:00,2019.08.16 12:00,,,,,,,,,,,,,,,,,,,,,,
링링,2019.09.02 00:00,2019.09.08 00:00,,,,,,,,,,,,,,,,,,,,,,
타파,2019.09.19 06:00,2019.09.23 00:00,,,,,,,,,,,,,,,,,,,,,,
미탁,2019.09.28 00:00,2019.10.03 03:00,,,,,,,,,,,,,,,,,,,,,,
