"통계분류(1)",통계분류(2),2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017
"통계분류(1)",통계분류(2),항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목,항목
"통계분류(1)",통계분류(2),여가시간,여가시간,독서시간,독서시간,여가시간 중 독서시간이 차지하는 비율,여가시간 중 독서시간이 차지하는 비율,사례수,여가시간,여가시간,독서시간,독서시간,여가시간 중 독서시간이 차지하는 비율,여가시간 중 독서시간이 차지하는 비율,사례수,여가시간,여가시간,독서시간,독서시간,여가시간 중 독서시간이 차지하는 비율,여가시간 중 독서시간이 차지하는 비율,사례수,여가시간,여가시간,독서시간,독서시간,여가시간 중 독서시간이 차지하는 비율,여가시간 중 독서시간이 차지하는 비율
"통계분류(1)",통계분류(2),평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,소계,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,소계,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,소계,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균
"전체",소계,194.8,335.4,25.9,29.9,13.3,8.9,2000,196.1,342.9,23.5,25.8,14.1,8.6,5000,198.1,325.8,22.8,25.3,14,8.8,6000,197.9,321.8,23.4,27.1,11.8,8.4
"지역규모",대도시,193.5,330.3,27.2,30.5,14.1,9.2,923,204,352.8,25.9,25.9,15.5,8.3,2279,205,336.8,27.7,32.5,16.6,11.2,2691,194.8,326.8,24.9,29.4,13.7,9.2
"지역규모",중소도시,195.7,339.2,25.3,28.3,12.9,8.3,917,194.7,346,21.9,26.9,13.1,9.1,2348,189.5,316.9,19.5,20.5,12.6,7.3,2879,192.6,315.8,22.4,24.9,12.9,8.5
"지역규모",읍면지역,196.8,343,22,34.2,11.2,10,160,158.6,267.4,18.3,19.1,12.5,7.7,373,210.8,314.2,13.3,11.6,7.4,4.4,430,253,331.5,21.7,27.8,9.6,7.9
"지역",서울,192.3,313.1,28.5,29.5,14.8,9.4,410,204.6,337.6,34.5,33.9,20.6,11,1004,199.6,340.9,32.2,40.7,19.5,13.4,1173,196.2,333.1,30.9,37.7,16.6,11.1
"지역",부산,184.3,345.2,23.9,31.2,13,9,143,215,381.7,15.7,20,8,5.7,346,224.9,406.2,21.1,25.1,11.6,7.3,411,190.9,330.7,16.6,20.4,10.1,6.7
"지역",대구,171.7,284.3,17.2,16,10,5.6,99,176.1,323.3,18.1,21.6,13.2,7.4,242,200.1,282.2,22.7,23.2,14.9,10.2,288,174.2,301.4,15.1,18.1,10.2,7.4
"지역",인천,235.4,375.6,32,34.1,13.6,9.1,112,204.9,401.2,30.6,30.9,18.3,10.2,283,205.5,320.9,32.1,36.5,19.4,13.8,339,200.9,351,34.4,38.6,19.3,12
"지역",대전,190.2,366.1,25.3,34.9,13.3,9.5,59,177.1,316.7,13,8.8,9,2.7,149,206.7,285.9,29.2,24.9,16.5,10.1,176,214.9,351.4,15.4,17.9,7.6,5.3
"지역",광주,164.9,307.4,38.1,48.5,23.1,15.8,56,225.1,373.5,10.9,6.8,6.1,2.5,145,205.7,322.6,16.1,16.2,9.1,5.8,170,185.1,271.3,12.8,14.4,7,5.5
"지역",울산,222.6,421.9,25.2,31.6,11.3,7.5,44,232.9,367,20.5,15.6,10.7,4.1,110,197.4,329.2,19.7,21.9,11.5,6.7,133,208.6,290,22.3,19.9,10.7,7.1
"지역",세종,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,201.9,276.3,14.5,10.3,7.9,4.1
"지역",경기,196,342.4,21.6,26.5,11,7.7,467,198.1,369.4,24.6,31.4,13.7,10.3,1199,174.6,311.6,20.7,24.1,14,8.5,1466,167.1,301.6,23.7,27,15.3,9.7
"지역",강원,219.8,361.8,30.5,37.7,13.9,10.4,61,170.3,259.3,18.7,26.2,13.1,11,150,209.9,334.7,23.3,13.8,12.7,5,179,229.5,302.6,34.8,27.8,18.4,10.2
"지역",충북,179.3,303.8,26.8,37.6,14.9,12.4,61,169.3,328.7,11.1,13.3,9.3,4.3,154,201.5,285.7,12.7,11.4,8.1,5.4,187,267,395.9,15.6,26.6,5.9,5.5
"지역",충남,183.1,305.3,37.5,39.6,20.5,13,80,150.4,292.9,17.1,12.1,13,5.3,225,189.5,313.3,13.4,9.3,8.9,3.4,249,235.9,343.6,18.8,32.6,7.7,8.5
"지역",전북,197.2,343,26.4,33,13.4,9.6,73,160.4,243.6,15.9,24.2,10.9,9.9,177,222.5,314.1,12.5,10.5,6.7,3.6,213,235.4,301.3,17.2,16.5,7.5,6.2
"지역",전남,192.7,339.2,14,27,7.3,8,76,196.6,305.9,18.2,12.4,12.1,4.8,174,194.5,278.9,8.8,11.6,5.6,4.4,210,219.8,313.9,14.6,16.1,6.8,5
"지역",경북,205.6,352.3,24.8,32,12.1,9.1,107,192.9,310.2,20.4,18.2,13.5,6.5,266,193.8,278.9,22.6,16.8,14.1,7.2,317,187.9,282.6,18.1,18.7,11,7.5
"지역",경남,192.5,354.3,27,19.9,14,5.6,130,211.3,382.8,23.9,33.5,13.4,10.4,321,230.9,400,19.7,22.4,10.4,6.1,387,238.9,383.9,24.7,24.5,11.2,6.7
