날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2015-12-31 14:00:00,9.3,-6.9,6.9,31,16.2,1028.3
2015-12-30 14:00:00,8.9,-12.9,8.2,20,6.1,1028.2
2015-12-29 14:00:00,6.8,-18.9,4.1,14,14.4,1031.0
2015-12-28 14:00:00,4.5,-15.4,0.8,22,17.3,1029.6
2015-12-27 14:00:00,8.6,-9.8,6.4,26,13.7,1025.9
2015-12-26 14:00:00,11.6,-5.8,9.2,29,22.7,1018.3
2015-12-25 14:00:00,8.8,-15.7,6.7,16,13.0,1019.0
2015-12-24 14:00:00,12.8,-1.1,11.7,38,12.2,1016.7
2015-12-23 14:00:00,11.9,6.7,11.0,71,9.4,1019.6
2015-12-22 14:00:00,13.8,0.0,13.8,39,5.8,1027.1
2015-12-21 14:00:00,13.0,3.8,12.0,54,11.9,1024.6
2015-12-20 14:00:00,6.6,-2.5,6.6,52,3.2,1027.7
2015-12-19 14:00:00,10.6,-7.1,8.9,28,13.0,1033.7
2015-12-18 14:00:00,7.2,-9.6,4.3,29,16.6,1030.5
2015-12-17 14:00:00,3.8,-17.7,-0.1,19,17.6,1025.3
2015-12-16 14:00:00,7.6,-6.9,4.6,35,18.0,1016.1
2015-12-15 14:00:00,13.8,1.0,13.2,42,10.1,1016.4
2015-12-14 14:00:00,11.9,5.7,11.1,66,8.6,1020.2
2015-12-13 14:00:00,14.3,-1.3,13.8,34,9.7,1022.7
2015-12-12 14:00:00,14.3,-2.2,14.3,32,6.8,1023.0
2015-12-11 14:00:00,10.5,2.5,9.2,58,10.1,1017.0
2015-12-10 14:00:00,11.1,10.6,10.1,97,9.4,1016.8
2015-12-09 14:00:00,13.6,4.1,13.4,53,6.8,1029.2
2015-12-08 14:00:00,16.2,1.8,16.2,38,6.5,1030.0
2015-12-07 14:00:00,16.8,2.3,16.8,38,5.0,1027.1
2015-12-06 14:00:00,9.5,-4.1,8.3,38,8.6,1026.4
2015-12-05 14:00:00,9.8,-5.3,7.5,34,16.6,1023.0
2015-12-04 14:00:00,9.4,-7.3,6.5,30,21.6,1019.7
2015-12-03 14:00:00,9.1,-8.4,5.8,28,24.5,1012.4
2015-12-02 14:00:00,15.1,8.5,14.3,65,13.7,1014.5
2015-12-01 14:00:00,17.0,2.1,17.0,37,5.0,1024.4
2015-11-30 14:00:00,15.9,-1.2,15.5,31,11.9,1021.5
2015-11-29 14:00:00,14.0,-3.3,14.0,30,6.5,1026.1
2015-11-28 14:00:00,10.3,-4.1,8.4,36,14.0,1029.4
2015-11-27 14:00:00,9.0,-7.2,6.4,31,17.3,1022.7
2015-11-26 14:00:00,6.4,-10.8,2.2,28,25.9,1013.0
2015-11-25 14:00:00,8.8,5.1,6.8,78,12.2,1017.0
2015-11-24 14:00:00,15.6,1.6,15.6,39,5.8,1022.8
2015-11-23 14:00:00,17.3,10.6,17.3,65,6.8,1021.5
2015-11-22 14:00:00,18.3,6.7,18.3,47,7.6,1026.0
2015-11-21 14:00:00,14.4,6.4,13.9,59,10.1,1024.8
2015-11-20 14:00:00,19.3,3.8,19.3,36,10.8,1022.0
2015-11-19 14:00:00,15.9,6.0,15.9,52,5.4,1022.0
2015-11-18 14:00:00,14.0,7.5,13.9,65,6.8,1017.3
2015-11-17 14:00:00,17.8,16.4,17.8,92,4.7,1018.0
2015-11-16 14:00:00,19.7,9.8,19.7,53,11.2,1017.2
2015-11-15 14:00:00,19.5,7.8,19.5,47,7.6,1019.4
2015-11-14 14:00:00,18.9,15.3,18.9,80,4.7,1012.8
2015-11-13 14:00:00,13.2,12.0,13.0,93,6.5,1019.7
2015-11-12 14:00:00,18.6,6.7,18.3,46,18.7,1028.9
2015-11-11 14:00:00,19.0,8.0,19.0,49,5.8,1027.5
2015-11-10 14:00:00,16.4,6.7,16.3,53,10.1,1022.0
2015-11-09 14:00:00,18.5,11.5,18.5,64,6.1,1015.1
2015-11-08 14:00:00,16.3,15.9,16.3,98,4.3,1016.1
2015-11-07 14:00:00,15.9,15.5,15.9,98,5.0,1022.3
2015-11-06 14:00:00,21.5,6.9,21.5,39,3.6,1025.8
2015-11-05 14:00:00,23.0,4.4,23.0,30,6.1,1023.4
2015-11-04 14:00:00,22.2,5.9,22.2,35,5.8,1027.6
2015-11-03 14:00:00,21.2,2.4,21.2,29,8.6,1028.3
2015-11-02 14:00:00,17.0,1.0,16.6,34,14.0,1020.7
2015-11-01 14:00:00,11.3,-1.1,10.6,42,7.6,1025.6
2015-10-31 14:00:00,14.8,-10.8,13.9,16,14.4,1027.7
2015-10-30 14:00:00,16.4,-6.6,15.8,20,15.5,1024.4
2015-10-29 14:00:00,19.4,3.5,19.4,35,6.8,1021.3
2015-10-28 14:00:00,18.5,-4.9,18.4,20,14.4,1019.3
2015-10-27 14:00:00,20.2,11.6,20.2,58,13.3,1007.3
2015-10-26 14:00:00,20.0,4.8,20.0,37,11.2,1020.7
2015-10-25 14:00:00,21.0,2.2,21.0,29,16.9,1024.2
2015-10-24 14:00:00,24.0,9.9,24.0,41,13.3,1016.2
2015-10-23 14:00:00,24.4,9.1,24.4,38,6.5,1018.2
