날짜,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압
2017-12-31 14:00:00,-,7.6,-11.2,4.4,0,25,서북서,19.8,1020.6
2017-12-30 14:00:00,-,10.3,-0.8,10.3,0,46,남동,4.0,1023.9
2017-12-29 14:00:00,-,10.5,-1.8,9.0,0,42,북서,11.5,1023.7
2017-12-28 14:00:00,-,4.6,-8.8,1.9,0,37,북서,11.5,1027.6
2017-12-27 14:00:00,-,2.0,-19.9,-2.1,0,18,북서,15.8,1027.2
2017-12-26 14:00:00,-,5.8,-4.1,3.1,0,49,북서,13.0,1021.2
2017-12-25 14:00:00,-,5.7,-12.3,2.9,0,26,서북서,13.0,1021.0
2017-12-24 14:00:00,-,9.9,7.8,9.1,16.4,87,남남동,6.8,1007.1
2017-12-23 14:00:00,-,10.6,-3.8,9.3,0,36,서북서,10.1,1023.4
2017-12-22 14:00:00,-,7.6,-5.8,5.1,0,38,서북서,13.7,1026.0
2017-12-21 14:00:00,-,7.5,-8.9,5.2,0,30,북서,12.2,1029.5
2017-12-20 14:00:00,-,5.3,-12.7,2.1,0,26,북서,15.1,1030.7
2017-12-19 14:00:00,-,5.4,-10.0,2.0,0,32,북서,16.6,1027.7
2017-12-18 14:00:00,-,6.5,-7.8,4.5,0,35,서북서,9.7,1027.0
2017-12-17 14:00:00,-,0.5,-18.8,-4.3,0,22,북서,17.6,1028.4
2017-12-16 14:00:00,-,3.0,-15.1,-0.6,0,25,북서,14.0,1023.0
2017-12-15 14:00:00,-,7.5,-16.0,4.7,0,17,북서,16.2,1023.6
2017-12-14 14:00:00,-,4.8,-17.5,2.1,0,18,서북서,11.5,1028.9
2017-12-13 14:00:00,-,3.2,-21.8,-0.2,0,14,북북서,13.7,1027.9
2017-12-12 14:00:00,-,-1.2,-20.2,-6.1,0,22,서북서,16.2,1026.7
2017-12-11 14:00:00,-,3.3,-11.8,-1.3,0,32,서북서,22.0,1018.7
2017-12-10 14:00:00,-,7.0,3.2,5.1,0.5,77,북서,9.7,1012.6
2017-12-09 14:00:00,-,6.9,-5.4,6.9,0,41,서남서,4.3,1020.5
2017-12-08 14:00:00,-,3.5,-16.8,-0.7,0,21,북서,18.7,1020.4
2017-12-07 14:00:00,-,9.5,-2.4,7.6,0,43,북서,12.6,1019.9
2017-12-06 14:00:00,-,7.2,-6.9,5.2,0,36,북서,10.4,1024.2
2017-12-05 14:00:00,-,3.7,-15.5,0.7,0,23,북서,11.9,1020.6
2017-12-04 14:00:00,-,10.5,-3.9,8.5,0,36,북서,15.5,1017.8
2017-12-03 14:00:00,-,12.3,-2.3,11.6,0,36,남,8.6,1023.1
2017-12-02 14:00:00,-,7.3,-8.3,5.1,0,32,서북서,11.9,1027.8
2017-12-01 14:00:00,-,5.3,-17.8,1.7,0,17,북서,18.0,1028.2
2017-11-30 14:00:00,-,9.0,-15.5,6.6,0,16,북서,15.5,1022.6
2017-11-29 14:00:00,-,15.2,4.2,14.9,0,48,서북서,9.4,1021.4
2017-11-28 14:00:00,-,17.0,8.6,16.6,0,58,서,13.7,1020.9
2017-11-27 14:00:00,-,16.5,4.8,16.5,0,46,남동,7.9,1024.8
2017-11-26 14:00:00,-,15.7,1.0,15.4,0,37,북서,10.4,1021.3
2017-11-25 14:00:00,-,9.6,-2.7,8.2,0,42,서,9.7,1026.5
2017-11-24 14:00:00,-,9.4,-6.4,6.4,0,32,서북서,22.3,1022.1
2017-11-23 14:00:00,-,6.7,-4.4,3.6,0,45,서북서,16.6,1020.0
2017-11-22 14:00:00,-,11.0,-1.7,11.0,0,41,서,4.0,1016.8
2017-11-21 14:00:00,-,12.4,-0.5,11.2,0,41,남남동,11.9,1025.4
2017-11-20 14:00:00,-,9.6,-10.0,7.8,0,24,북서,12.2,1024.4
2017-11-19 14:00:00,-,6.7,-11.9,4.5,0,25,북서,11.2,1025.8
2017-11-18 14:00:00,-,7.7,-16.6,4.1,0.0,16,북서,24.1,1016.4
2017-11-17 14:00:00,-,12.4,3.5,12.3,0,55,서남서,5.8,1018.6
2017-11-16 14:00:00,-,10.4,-6.0,9.3,0,31,북서,9.0,1023.4
2017-11-15 14:00:00,-,12.3,-3.1,10.1,0,34,서북서,22.3,1018.6
2017-11-14 14:00:00,-,16.6,-3.5,16.1,0,25,북서,14.4,1016.5
2017-11-13 14:00:00,-,15.2,3.6,15.2,0,46,서남서,4.0,1015.9
2017-11-12 14:00:00,-,14.8,-2.1,14.6,0,31,북북서,8.3,1020.1
2017-11-11 14:00:00,-,13.6,-8.9,12.3,0,20,서북서,15.1,1019.2
2017-11-10 14:00:00,-,19.3,11.0,19.2,0,59,서,17.6,1014.2
2017-11-09 14:00:00,-,18.2,3.6,18.2,0,38,서,10.4,1023.3
2017-11-08 14:00:00,-,21.5,6.1,21.5,0,37,북서,18.4,1015.6
2017-11-07 14:00:00,-,18.8,8.1,18.8,0,50,북서,4.3,1020.6
2017-11-06 14:00:00,-,18.8,1.7,18.8,0,32,동남동,4.3,1023.0
2017-11-05 14:00:00,-,15.5,-2.9,15.1,0,28,서북서,10.4,1027.4
2017-11-04 14:00:00,-,16.3,2.3,16.3,0,39,서남서,4.7,1026.8
2017-11-03 14:00:00,-,21.3,7.8,21.3,0,42,북서,12.6,1016.8
2017-11-02 14:00:00,-,19.6,7.3,19.6,0,45,서,5.8,1016.9
2017-11-01 14:00:00,-,19.3,-4.9,19.3,0,19,북서,10.1,1020.5
2017-10-31 14:00:00,-,16.4,-5.4,16.1,0,22,서북서,11.5,1024.3
