날짜,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압
2019-01-01 14:00:00,-,4.3,-8.1,0.2,0,40,북서,20.2,1029.3
2018-12-31 14:00:00,-,6.4,-9.1,4.4,0,32,서북서,9.7,1033.1
2018-12-30 14:00:00,-,2.0,-17.5,-2.3,0,22,북서,17.3,1034.5
2018-12-29 14:00:00,-,0.8,-18.5,-4.4,0,22,북서,21.2,1030.6
2018-12-28 14:00:00,-,0.1,-16.2,-4.4,0,28,북서,15.8,1026.9
2018-12-27 14:00:00,-,3.2,-21.8,-1.3,0,14,서북서,20.5,1023.9
2018-12-26 14:00:00,-,10.2,-8.4,7.9,0,26,북서,17.6,1020.1
2018-12-25 14:00:00,-,8.9,-12.2,7.2,0,21,북서,10.8,1022.6
2018-12-24 14:00:00,-,7.5,-15.3,4.2,0,18,북서,19.8,1024.7
2018-12-23 14:00:00,-,13.5,-2.9,12.7,2.7,32,북서,11.2,1019.9
2018-12-22 14:00:00,-,15.1,3.2,14.3,0,45,북서,14.0,1021.2
2018-12-21 14:00:00,-,12.0,4.2,11.7,0,59,북서,6.5,1021.9
2018-12-20 14:00:00,-,10.5,2.0,10.5,0,56,서북서,3.2,1022.4
2018-12-19 14:00:00,-,14.7,-0.6,14.4,0,35,서,8.6,1020.7
2018-12-18 14:00:00,-,9.3,-2.6,7.8,0,43,북북서,9.7,1020.6
2018-12-17 14:00:00,구름조금,9.0,-0.8,7.0,0,50,북서,12.6,1017.0
2018-12-16 14:00:00,-,-0.3,-1.2,-4.9,2.6,93,북서,15.5,1020.0
2018-12-15 14:00:00,-,7.4,-14.7,4.8,0,19,북서,14.0,1030.8
2018-12-14 14:00:00,-,4.9,-13.0,1.2,0,26,북서,17.6,1031.7
2018-12-13 14:00:00,-,7.5,-4.6,5.4,0,42,서북서,11.2,1026.3
2018-12-12 14:00:00,-,6.0,-10.3,2.9,0,30,북서,15.8,1026.6
2018-12-11 14:00:00,-,3.3,1.8,0.0,1.0,90,북서,13.0,1024.0
2018-12-10 14:00:00,-,7.1,-12.1,4.5,0,24,북서,14.0,1031.3
2018-12-09 14:00:00,-,2.2,-17.9,-2.1,0,21,북서,17.6,1033.0
2018-12-08 14:00:00,-,1.4,-11.7,-3.0,0,37,북서,16.9,1031.2
2018-12-07 14:00:00,-,0.7,-15.3,-3.2,0,29,북북서,13.3,1028.4
2018-12-06 14:00:00,-,7.3,3.1,4.5,3.5,75,북서,15.8,1019.5
2018-12-05 14:00:00,-,12.7,-0.9,11.6,0,39,북서,11.5,1023.6
2018-12-04 14:00:00,-,15.5,11.4,15.2,8.0,77,북서,10.1,1013.7
2018-12-03 14:00:00,-,16.6,15.6,16.6,12.2,94,동,2.2,1016.8
2018-12-02 14:00:00,-,18.5,8.4,18.5,0,52,남동,11.2,1022.8
2018-12-01 14:00:00,-,12.4,-1.1,12.0,0,39,서북서,7.2,1027.0
2018-11-30 14:00:00,-,15.9,1.9,15.9,0,39,서북서,6.8,1024.6
2018-11-29 14:00:00,-,14.7,-3.6,14.7,0,28,서남서,5.0,1025.3
2018-11-28 14:00:00,-,15.8,0.0,15.6,0,34,북서,10.1,1020.9
2018-11-27 14:00:00,-,16.9,0.5,16.5,0,33,북서,13.7,1021.1
2018-11-26 14:00:00,-,16.9,4.8,16.9,0,45,남남서,5.0,1024.2
2018-11-25 14:00:00,-,12.4,4.3,11.5,0,58,북서,10.1,1023.5
2018-11-24 14:00:00,-,4.3,0.4,2.1,0.4,76,북서,8.6,1024.4
2018-11-23 14:00:00,-,9.8,-9.8,7.1,0,24,북서,20.5,1027.3
2018-11-22 14:00:00,-,10.5,-12.2,8.4,0,19,북서,16.2,1023.4
2018-11-21 14:00:00,-,12.5,-2.1,12.5,0,36,남남서,2.5,1021.9
2018-11-20 14:00:00,-,15.3,-6.3,15.0,0,22,서북서,10.1,1024.3
2018-11-19 14:00:00,-,15.4,-3.5,14.6,0,27,서북서,14.8,1021.0
2018-11-18 14:00:00,-,10.9,-3.9,9.6,0,35,북서,10.4,1019.9
2018-11-17 14:00:00,-,16.0,3.4,15.6,0,43,서북서,12.2,1020.5
2018-11-16 14:00:00,-,13.5,8.9,12.9,0,74,서북서,9.4,1020.4
2018-11-15 14:00:00,-,18.7,6.1,18.7,0,44,서남서,6.1,1024.1
2018-11-14 14:00:00,-,18.5,5.3,18.5,0,42,북서,5.8,1022.2
2018-11-13 14:00:00,-,16.9,8.3,16.9,0,57,동남동,6.5,1017.7
2018-11-12 14:00:00,-,16.2,9.3,16.0,2.6,64,서북서,10.4,1016.9
2018-11-11 14:00:00,-,18.3,9.6,18.3,0,57,남남동,12.6,1020.6
2018-11-10 14:00:00,-,20.1,2.8,20.1,0,32,북서,7.9,1024.3
2018-11-09 14:00:00,-,18.0,6.5,17.9,0,47,서북서,13.3,1017.6
2018-11-08 14:00:00,-,17.6,17.1,17.6,7.3,97,동,9.0,1014.8
2018-11-07 14:00:00,-,19.5,11.5,19.5,0,60,동남동,4.3,1023.5
2018-11-06 14:00:00,-,21.8,9.6,21.8,0,46,남동,6.1,1024.2
2018-11-05 14:00:00,-,22.1,7.1,22.1,0,38,남남동,6.8,1021.5
2018-11-04 14:00:00,-,20.7,2.4,20.7,0,30,서북서,10.8,1020.2
2018-11-03 14:00:00,-,19.8,-0.2,19.8,0,26,서,8.3,1024.1
2018-11-02 14:00:00,-,19.3,2.1,19.3,0,32,서남서,6.8,1027.0
2018-11-01 14:00:00,-,16.6,0.6,16.1,0,34,서북서,14.0,1024.7
2018-10-31 14:00:00,-,16.4,2.0,16.2,0,38,서북서,11.2,1021.8
2018-10-30 14:00:00,맑음,15.0,-0.7,14.2,0,34,서북서,13.7,1019.2
2018-10-29 14:00:00,구름많음,17.2,8.3,17.2,0.0,56,서북서,9.0,1012.3
2018-10-28 14:00:00,구름많음,17.3,6.7,16.8,0,50,남서,16.9,1010.6
2018-10-27 14:00:00,-,16.2,4.2,15.3,0,45,서북서,18.7,1014.4
2018-10-26 14:00:00,-,17.9,14.0,17.9,0.0,78,동남동,5.4,1011.0
2018-10-25 14:00:00,맑음,21.9,7.3,21.9,0,39,남남동,7.9,1020.5
2018-10-24 14:00:00,-,21.4,6.8,21.4,0,39,서북서,10.1,1019.0
2018-10-23 14:00:00,-,21.5,9.3,21.5,0.0,46,북서,8.6,1016.2
2018-10-22 14:00:00,-,21.7,11.9,21.7,0,54,남서,4.3,1019.6
2018-10-21 14:00:00,-,23.2,6.0,23.2,0,33,서,4.3,1022.4
2018-10-20 14:00:00,-,22.9,4.8,22.9,0,31,남,5.4,1024.2
2018-10-19 14:00:00,-,20.1,7.4,20.1,0,44,서북서,15.1,1022.4
2018-10-18 14:00:00,-,20.1,5.3,20.1,0,38,서북서,11.2,1016.6
2018-10-17 14:00:00,-,21.9,6.9,21.9,0,38,서북서,6.1,1014.3
2018-10-16 14:00:00,-,17.4,10.7,17.4,0,65,북서,10.4,1015.6
2018-10-15 14:00:00,-,22.0,7.0,22.0,0,38,서북서,12.6,1018.2
2018-10-14 14:00:00,-,21.4,8.9,21.4,0,45,북서,6.5,1021.8
2018-10-13 14:00:00,-,19.5,11.0,19.5,0,58,북북서,2.5,1023.7
2018-10-12 14:00:00,-,18.9,4.2,18.9,0,38,서,6.8,1024.6
2018-10-11 14:00:00,-,17.8,1.2,17.5,0,33,북서,15.8,1020.4
2018-10-10 14:00:00,-,19.8,10.7,19.8,0.1,56,북서,11.9,1015.1
2018-10-09 14:00:00,-,20.1,12.0,20.1,0,60,동남동,2.5,1016.4
2018-10-08 14:00:00,-,23.2,8.0,23.2,0,38,북서,9.0,1017.5
2018-10-07 14:00:00,-,26.4,14.8,26.4,0,49,북서,10.4,1014.8
2018-10-06 14:00:00,-,22.3,18.8,22.3,83.7,81,서북서,21.2,996.9
2018-10-05 14:00:00,-,20.2,19.8,20.2,37.5,98,서북서,4.3,1015.5
2018-10-04 14:00:00,-,24.2,13.1,24.2,0,50,동남동,13.0,1022.2
2018-10-03 14:00:00,-,24.1,7.6,24.1,0,35,서북서,10.1,1020.5
2018-10-02 14:00:00,-,23.0,10.0,23.0,0,44,서,8.6,1016.6
2018-10-01 14:00:00,-,21.0,6.1,21.0,0,38,서북서,24.8,1007.9
2018-09-30 14:00:00,-,25.5,16.6,73,6.0,58,북서,10.1,1000.4
2018-09-29 14:00:00,-,17.3,16.3,63,8.6,94,정온,1.1,1013.3
2018-09-28 14:00:00,-,24.7,14.7,72,0.0,54,동북동,7.9,1017.5
2018-09-27 14:00:00,-,25.1,13.6,72,0,49,동남동,9.0,1017.0
2018-09-26 14:00:00,-,24.8,14.8,72,0,54,서북서,7.6,1017.9
2018-09-25 14:00:00,-,25.9,12.7,72,0,44,남동,7.9,1017.1
2018-09-24 14:00:00,-,21.4,11.4,67,0,53,북북서,4.3,1018.1
2018-09-23 14:00:00,-,27.9,13.4,74,0,41,남서,10.4,1015.0
2018-09-22 14:00:00,-,26.8,16.9,75,0,55,서북서,11.9,1014.7
2018-09-21 14:00:00,-,20.5,19.8,69,26.0,96,서북서,11.2,1006.6
2018-09-20 14:00:00,-,22.0,20.8,71,11.5,93,남,4.0,1008.9
2018-09-19 14:00:00,-,25.1,20.1,74,0,74,남동,8.6,1013.9
2018-09-18 14:00:00,-,27.1,20.6,77,0,68,남남동,10.1,1015.3
2018-09-17 14:00:00,-,26.8,18.6,75,0,61,북서,9.7,1016.2
2018-09-16 14:00:00,-,30.3,20.2,79,0,55,서북서,8.6,1014.2
2018-09-15 14:00:00,-,24.5,21.4,74,4.4,83,남,4.3,1014.7
2018-09-14 14:00:00,-,22.7,22.1,73,26.6,97,북서,3.6,1014.8
2018-09-13 14:00:00,-,21.7,20.5,71,7.9,93,서북서,3.6,1017.9
2018-09-12 14:00:00,-,28.2,19.1,77,0,58,남동,10.1,1017.1
2018-09-11 14:00:00,-,24.2,14.8,71,0,56,북동,5.8,1020.2
2018-09-10 14:00:00,-,26.7,11.5,73,0,39,서남서,7.2,1020.3
2018-09-09 14:00:00,-,27.1,18.3,76,0,59,서,4.0,1014.8
2018-09-08 14:00:00,-,24.1,17.1,72,0,65,북서,5.0,1012.3
2018-09-07 14:00:00,-,24.0,20.5,73,15.3,81,남남서,6.1,1006.2
2018-09-06 14:00:00,-,27.7,18.4,76,0,57,남,4.7,1006.6
2018-09-05 14:00:00,-,28.2,19.1,77,0,58,서남서,12.6,1003.4
2018-09-04 14:00:00,-,29.1,21.0,79,0.8,62,서북서,11.5,994.0
2018-09-03 14:00:00,-,27.9,22.6,79,0.0,73,남동,10.8,1001.8
2018-09-02 14:00:00,-,25.5,18.9,74,0,67,남동,6.5,1010.1
2018-09-01 14:00:00,-,25.9,22.1,76,93.8,80,남,8.6,1012.0
2018-08-31 14:00:00,-,23.9,23.3,75,10.4,97,남남동,5.0,1010.8
2018-08-30 14:00:00,-,29.1,24.4,81,5.0,76,서남서,13.7,1010.8
2018-08-29 14:00:00,-,30.9,22.2,81,0,60,서남서,16.6,1011.9
2018-08-28 14:00:00,-,32.0,24.3,83,0.1,64,남남동,10.8,1013.0
2018-08-27 14:00:00,-,26.7,25.2,79,2.4,92,남동,5.4,1012.8
2018-08-26 14:00:00,-,26.8,25.1,79,59.6,91,남남동,20.2,1012.4
2018-08-25 14:00:00,-,24.6,23.0,75,6.8,91,정온,0.4,1011.3
2018-08-24 14:00:00,-,30.5,24.6,82,8.5,71,서,14.8,1000.5
