날짜,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압
2019-12-31,-,2.5,-18.2,-1.9,0,20,서북서,18.7,1031.1
2019-12-30,-,13.3,7.5,12.5,1.0,68,북서,10.4,1019.7
2019-12-29,-,5.9,-4.0,5.9,0,49,서북서,3.2,1026.4
2019-12-28,-,9.1,-10.4,8.3,0,24,남,6.5,1028.1
2019-12-27,-,8.1,-12.3,5.4,0,22,북서,16.2,1022.1
2019-12-26,-,6.1,0.6,3.0,0.0,68,북서,15.8,1012.9
2019-12-25,-,14.5,0.0,13.8,0,37,서북서,11.5,1021.1
2019-12-24,-,10.9,-0.5,9.2,0,45,서북서,13.3,1025.4
2019-12-23,-,12.0,-0.2,10.7,0,43,북서,12.2,1019.8
2019-12-22,-,6.5,-1.4,6.5,0,57,서북서,2.9,1018.9
2019-12-21,-,4.8,-6.1,1.8,0,45,북서,13.0,1027.6
2019-12-20,-,9.0,-4.5,7.2,0,38,북서,11.5,1027.4
2019-12-19,-,11.2,-11.6,9.3,0,19,북서,15.8,1020.7
2019-12-18,-,13.8,-3.0,12.7,0,31,서북서,14.4,1019.9
2019-12-17,-,14.8,8.9,14.8,0,68,서,5.8,1012.7
2019-12-16,-,16.1,4.7,16.1,0,47,남남서,7.6,1023.0
2019-12-15,-,12.4,2.2,10.8,0,50,동남동,15.8,1029.2
2019-12-14,-,11.5,-5.5,9.5,0,30,북서,17.6,1026.1
2019-12-13,-,9.6,-6.7,8.5,0,31,서북서,8.3,1027.2
2019-12-12,-,8.4,-11.5,6.8,0,23,북서,9.4,1027.4
2019-12-11,-,17.6,5.8,17.4,0,46,서남서,13.7,1014.2
2019-12-10,-,16.5,5.1,16.5,0,47,서북서,7.9,1020.1
2019-12-09,-,12.1,-4.1,11.2,0,32,북서,9.4,1023.5
2019-12-08,-,-,-,-,-,-,-,-,-
2019-12-07,-,-,-,-,-,-,-,-,-
2019-12-06,-,-,-,-,-,-,-,-,-
2019-12-05,-,-,-,-,-,-,-,-,-
2019-12-04,-,-,-,-,-,-,-,-,-
2019-12-03,-,-,-,-,-,-,-,-,-
2019-12-02,-,-,-,-,-,-,-,-,-
2019-12-01,-,-,-,-,-,-,-,-,-
2019-11-30,-,-,-,-,-,-,-,-,-
2019-11-29,-,-,-,-,-,-,-,-,-
2019-11-28,-,-,-,-,-,-,-,-,-
2019-11-27,-,-,-,-,-,-,-,-,-
2019-11-26,-,-,-,-,-,-,-,-,-
2019-11-25,-,14.4,6.2,14.1,0,58,서북서,8.6,1025.7
2019-11-24,-,16.1,13.7,16.1,0.5,86,북서,6.5,1016.9
2019-11-23,-,20.1,9.0,20.1,0,49,남남동,11.2,1023.0
2019-11-22,-,18.6,6.7,18.6,0,46,동,6.5,1026.4
2019-11-21,-,15.1,-1.5,14.7,0,32,서,10.1,1030.0
2019-11-20,-,10.7,-6.6,8.8,0,29,북서,14.4,1029.0
2019-11-19,-,8.4,-4.1,6.8,0,41,북북서,9.7,1023.4
2019-11-18,-,14.1,5.9,13.8,14.5,58,북서,8.3,1015.5
2019-11-17,-,17.9,12.5,17.9,0.0,71,동남동,12.2,1020.3
2019-11-16,-,20.7,8.6,20.7,0,46,남남서,11.2,1019.2
2019-11-15,-,17.1,1.0,17.1,0,34,남남동,4.3,1019.4
2019-11-14,-,9.7,-9.9,6.9,0,24,북서,20.5,1023.0
2019-11-13,-,15.4,4.7,14.8,0,49,서북서,12.2,1016.1
2019-11-12,-,19.0,3.5,19.0,0,36,남서,6.1,1020.5
2019-11-11,-,19.0,6.7,18.7,0.0,45,서북서,20.5,1009.9
2019-11-10,-,17.1,4.0,17.1,0,42,남남동,6.1,1014.0
2019-11-09,-,18.9,0.0,18.9,0,28,서북서,15.5,1018.9
2019-11-08,-,18.0,4.1,18.0,0,40,북서,12.6,1017.9
2019-11-07,-,18.6,5.4,18.5,0,42,서북서,15.1,1015.3
2019-11-06,-,17.8,3.2,17.8,0,38,남서,8.6,1015.2
2019-11-05,맑음,19.9,6.2,19.9,0,41,서북서,13.3,1017.8
2019-11-04,-,18.2,8.4,18.2,0,53,남남서,2.9,1021.8
2019-11-03,-,19.9,11.3,19.9,0,58,서북서,10.4,1017.4
2019-11-02,-,21.4,11.4,21.4,0,53,서남서,6.8,1019.4
2019-11-01,-,23.0,7.9,23.0,0,38,서북서,15.8,1019.8
2019-10-31,-,21.0,5.7,21.0,0,37,북서,12.6,1019.6
2019-10-30,-,20.0,2.7,20.0,0,32,서북서,11.2,1020.0
2019-10-29,-,20.2,7.8,20.2,0,45,북서,8.3,1014.4
2019-10-28,-,20.3,5.1,20.3,0,37,남서,12.2,1016.5
2019-10-27,-,18.7,-1.7,18.6,0,25,북서,15.5,1017.4
2019-10-26,-,20.9,5.6,20.9,0,37,북서,13.3,1015.2
2019-10-25,-,24.4,13.5,24.4,0,51,북서,11.5,1015.1
2019-10-24,-,20.9,15.4,20.9,0,71,북북서,7.2,1015.9
2019-10-23,-,20.8,14.2,20.8,0,66,남서,5.8,1016.8
2019-10-22,-,23.0,14.2,23.0,0,58,남서,5.4,1016.2
2019-10-21,맑음,24.6,11.5,24.6,0,44,남,5.4,1016.5
2019-10-20,-,23.1,12.4,23.1,0,51,서북서,10.1,1020.3
2019-10-19,구름많음,24.1,15.3,24.1,0,58,서북서,11.2,1018.7
2019-10-18,-,15.6,14.6,15.5,14.0,94,북북서,8.6,1020.0
2019-10-17,-,19.4,12.8,19.4,0,66,북서,9.4,1023.8
2019-10-16,-,21.0,9.5,21.0,0,48,서남서,9.0,1025.0
2019-10-15,-,19.0,10.2,19.0,0,57,북북동,4.7,1027.9
2019-10-14,-,23.8,11.4,23.8,0,46,서북서,13.3,1021.6
2019-10-13,-,24.1,9.2,24.1,0,39,서북서,7.9,1021.1
2019-10-12,-,25.4,10.0,25.4,0,38,서,7.9,1012.8
2019-10-11,-,27.6,13.1,27.6,0,41,동남동,4.3,1012.1
2019-10-10,-,24.2,9.7,24.2,0,40,북서,9.7,1014.0
2019-10-09,-,24.1,10.0,24.1,0,41,남,7.6,1017.6
2019-10-08,-,23.2,12.4,23.2,0,51,서북서,13.3,1016.1
2019-10-07,-,20.4,14.9,20.4,0.0,71,남남동,7.2,1016.5
2019-10-06,-,22.4,11.4,22.4,0,50,남동,7.6,1022.7
2019-10-05,-,27.4,18.9,27.4,0,60,북서,9.4,1013.2
2019-10-04,-,26.4,18.2,26.4,0,61,남남동,14.0,1013.5
2019-10-03,-,27.2,19.2,27.2,3.5,62,북서,15.1,1004.5
2019-10-02,-,23.4,22.3,23.4,27.5,94,동남동,9.7,1011.4
2019-10-01,-,23.4,22.0,23.4,9.0,92,서북서,6.8,1020.2
2019-09-30,구름많음,29.3,22.7,80,0,68,남남동,11.9,1016.4
2019-09-29,-,29.8,21.1,80,0,60,서북서,6.1,1014.8
2019-09-28,-,25.6,22.0,76,1.5,81,남서,4.0,1017.9
