날짜,평균,평년,현재기온,이슬점온도,습도,태풍,태풍영향10,태풍영향12,태풍영향14,태풍영향16,태풍영향18,태풍영향20
2015-01-02,1287,1561,2.1,-15.4,26.0,0,x,x,x,x,x,x
2015-01-05,1287,1449,10.4,-3.3,38.0,0,x,x,x,x,x,x
2015-01-06,1303,1432,9.1,-16.2,15.0,0,x,x,x,x,x,x
2015-01-07,1277,1411,2.5,-28.5,8.0,0,x,x,x,x,x,x
2015-01-08,1352,1407,3.3,-19.4,17.0,0,x,x,x,x,x,x
2015-01-09,1333,1403,5.1,-12.4,27.0,0,x,x,x,x,x,x
2015-01-12,1329,1352,4.9,-14.0,24.0,0,x,x,x,x,x,x
2015-01-13,1329,1340,9.1,-8.9,27.0,0,x,x,x,x,x,x
2015-01-14,1329,1326,5.3,-1.4,62.0,0,x,x,x,x,x,x
2015-01-15,1262,1321,9.3,-1.4,47.0,0,x,x,x,x,x,x
2015-01-16,1258,1314,8.5,-5.3,37.0,0,x,x,x,x,x,x
2015-01-19,1253,1268,9.6,-11.7,21.0,0,x,x,x,x,x,x
2015-01-20,1262,1254,10.1,-8.0,27.0,0,x,x,x,x,x,x
2015-01-21,1254,1239,7.4,-3.7,45.0,0,x,x,x,x,x,x
2015-01-22,1233,1222,6.8,-0.4,60.0,0,x,x,x,x,x,x
2015-01-23,1241,1216,9.0,-6.4,33.0,0,x,x,x,x,x,x
2015-01-26,1228,1221,10.0,7.7,86.0,0,x,x,x,x,x,x
2015-01-27,1212,1231,7.9,-9.9,27.0,0,x,x,x,x,x,x
2015-01-28,1199,1241,5.1,-10.6,31.0,0,x,x,x,x,x,x
2015-01-29,1203,1239,7.4,-2.3,50.0,0,x,x,x,x,x,x
2015-01-30,1203,1251,6.7,-11.0,27.0,0,x,x,x,x,x,x
2015-02-02,1210,1241,9.9,-10.8,22.0,0,x,x,x,x,x,x
2015-02-03,1214,1238,10.6,-6.2,30.0,0,x,x,x,x,x,x
2015-02-04,1213,1238,8.9,-9.1,27.0,0,x,x,x,x,x,x
2015-02-05,1261,1239,6.9,-11.3,26.0,0,x,x,x,x,x,x
2015-02-06,1256,1240,8.7,-13.0,20.0,0,x,x,x,x,x,x
2015-02-09,1261,1231,0.7,-27.5,10.0,0,x,x,x,x,x,x
2015-02-10,1248,1229,8.9,-10.6,24.0,0,x,x,x,x,x,x
2015-02-11,1248,1226,10.5,-5.9,31.0,0,x,x,x,x,x,x
2015-02-12,1204,1222,8.6,-20.3,11.0,0,x,x,x,x,x,x
2015-02-13,1213,1227,6.1,-21.2,12.0,0,x,x,x,x,x,x
2015-02-16,1204,1270,7.5,2.7,72.0,0,x,x,x,x,x,x
2015-02-17,1202,1282,8.8,-7.0,32.0,0,x,x,x,x,x,x
2015-02-23,1205,1323,10.9,-8.9,24.0,0,x,x,x,x,x,x
2015-02-24,1212,1325,11.4,-14.3,15.0,0,x,x,x,x,x,x
2015-02-25,1229,1325,12.2,-1.0,40.0,0,x,x,x,x,x,x
2015-02-26,1295,1320,13.5,-7.8,22.0,0,x,x,x,x,x,x
2015-02-27,1300,1308,4.4,-20.0,15.0,0,x,x,x,x,x,x
2015-03-02,1300,1281,11.0,-13.9,16.0,0,x,x,x,x,x,x
2015-03-03,1297,1274,3.3,2.8,97.0,0,x,x,x,x,x,x
2015-03-04,1297,1260,6.0,-15.9,19.0,0,x,x,x,x,x,x
2015-03-05,1288,1247,8.9,-10.1,25.0,0,x,x,x,x,x,x
2015-03-06,1272,1245,10.7,-4.9,33.0,0,x,x,x,x,x,x
2015-03-09,1286,1243,15.9,-9.9,16.0,0,x,x,x,x,x,x
2015-03-10,1286,1246,4.6,-26.9,8.0,0,x,x,x,x,x,x
2015-03-11,1275,1250,7.7,-12.1,23.0,0,x,x,x,x,x,x
2015-03-12,1246,1252,10.7,-18.6,11.0,0,x,x,x,x,x,x
2015-03-13,1241,1255,11.5,-1.6,40.0,0,x,x,x,x,x,x
2015-03-16,1248,1283,20.2,-2.8,21.0,0,x,x,x,x,x,x
2015-03-17,1253,1288,21.8,-2.8,19.0,0,x,x,x,x,x,x
2015-03-18,1260,1297,11.4,10.6,95.0,0,x,x,x,x,x,x
2015-03-19,1257,1305,17.5,8.3,55.0,0,x,x,x,x,x,x
2015-03-20,1239,1310,21.2,-0.1,24.0,0,x,x,x,x,x,x
2015-03-23,1261,1304,13.5,-20.2,8.0,0,x,x,x,x,x,x
2015-03-24,1261,1300,12.1,-16.5,12.0,0,x,x,x,x,x,x
2015-03-25,1250,1298,13.6,-6.6,24.0,0,x,x,x,x,x,x
2015-03-26,1297,1295,18.2,-6.5,18.0,0,x,x,x,x,x,x
2015-03-27,1283,1290,19.9,-13.9,9.0,0,x,x,x,x,x,x
2015-03-30,1283,1287,20.1,2.8,32.0,0,x,x,x,x,x,x
2015-03-31,1286,1298,14.3,13.9,98.0,0,x,x,x,x,x,x
2015-04-01,1283,1307,12.1,6.1,67.0,0,x,x,x,x,x,x
2015-04-02,1303,1314,16.0,7.9,59.0,0,x,x,x,x,x,x
2015-04-03,1271,1314,22.9,11.6,49.0,0,x,x,x,x,x,x
2015-04-06,1283,1314,12.3,10.3,88.0,0,x,x,x,x,x,x
2015-04-07,1283,1325,10.6,1.9,55.0,0,x,x,x,x,x,x
2015-04-08,1283,1337,11.6,1.5,50.0,0,x,x,x,x,x,x
2015-04-09,1334,1348,14.7,1.2,40.0,0,x,x,x,x,x,x
2015-04-10,1338,1353,19.6,0.0,27.0,0,x,x,x,x,x,x
2015-04-13,1321,1378,12.8,8.2,74.0,0,x,x,x,x,x,x
2015-04-14,1317,1379,15.6,-1.0,32.0,0,x,x,x,x,x,x
2015-04-15,1317,1380,19.0,3.5,36.0,0,x,x,x,x,x,x
2015-04-16,1354,1380,18.6,8.2,51.0,0,x,x,x,x,x,x
2015-04-17,1326,1380,17.2,-4.1,23.0,0,x,x,x,x,x,x
2015-04-20,1334,1367,12.2,10.4,89.0,0,x,x,x,x,x,x
2015-04-21,1346,1371,18.8,8.1,50.0,0,x,x,x,x,x,x
2015-04-22,1344,1379,22.6,3.6,29.0,0,x,x,x,x,x,x
2015-04-23,1363,1389,23.1,-1.1,20.0,0,x,x,x,x,x,x
2015-04-24,1342,1402,22.0,9.5,45.0,0,x,x,x,x,x,x
2015-04-27,1341,1432,26.5,0.9,19.0,0,x,x,x,x,x,x
2015-04-28,1341,1437,24.1,10.7,43.0,0,x,x,x,x,x,x
2015-04-29,1336,1440,16.5,15.8,96.0,0,x,x,x,x,x,x
2015-04-30,1332,1446,20.7,13.1,62.0,0,x,x,x,x,x,x
2015-05-04,1330,1471,25.3,-5.1,13.0,0,x,x,x,x,x,x
2015-05-06,1341,1480,20.4,7.0,42.0,0,x,x,x,x,x,x
2015-05-07,1309,1493,23.8,3.6,27.0,0,x,x,x,x,x,x
2015-05-08,1318,1506,23.8,4.1,28.0,0,x,x,x,x,x,x
2015-05-11,1308,1588,19.6,9.4,52.0,0,x,x,x,x,x,x
2015-05-12,1322,1597,19.7,6.0,41.0,0,x,x,x,x,x,x
2015-05-13,1322,1618,25.3,7.4,32.0,0,x,x,x,x,x,x
2015-05-14,1322,1624,24.6,17.0,63.0,0,x,x,x,x,x,x
2015-05-15,1322,1631,21.2,16.9,77.0,0,x,x,x,x,x,x
2015-05-18,1374,1684,14.2,13.8,98.0,0,x,x,x,x,x,x
2015-05-19,1388,1684,25.0,15.3,55.0,0,x,x,x,x,x,x
2015-05-20,1385,1707,24.9,1.0,21.0,0,x,x,x,x,x,x
2015-05-21,1389,1746,26.0,8.4,33.0,0,x,x,x,x,x,x
2015-05-22,1386,1786,26.0,8.0,32.0,0,x,x,x,x,x,x
2015-05-26,1434,1740,32.7,3.5,16.0,0,x,x,x,x,x,x
2015-05-27,1438,1719,29.9,9.9,29.0,0,x,x,x,x,x,x
2015-05-28,1438,1711,29.7,2.8,18.0,0,x,x,x,x,x,x
2015-05-29,1466,1737,29.6,8.6,27.0,0,x,x,x,x,x,x
2015-06-01,1617,1740,27.0,14.3,46.0,0,x,x,x,x,x,x
2015-06-02,1744,1765,24.8,17.0,62.0,0,x,x,x,x,x,x
2015-06-03,1744,1780,27.2,9.5,33.0,0,x,x,x,x,x,x
2015-06-04,1789,1784,27.4,8.2,30.0,0,x,x,x,x,x,x
2015-06-05,1812,1796,15.3,12.7,85.0,0,x,x,x,x,x,x
2015-06-08,1794,1747,23.1,17.0,69.0,0,x,x,x,x,x,x
2015-06-09,1808,1727,27.5,13.0,41.0,0,x,x,x,x,x,x
2015-06-10,1808,1720,30.1,14.6,39.0,0,x,x,x,x,x,x
2015-06-11,1836,1692,23.1,19.6,81.0,0,x,x,x,x,x,x
2015-06-12,1839,1695,28.8,16.6,48.0,0,x,x,x,x,x,x
2015-06-15,1835,1719,25.1,19.9,73.0,0,x,x,x,x,x,x
2015-06-16,1835,1702,23.5,18.8,75.0,0,x,x,x,x,x,x
2015-06-17,1834,1704,24.7,13.8,51.0,0,x,x,x,x,x,x
2015-06-18,1797,1710,25.0,15.0,54.0,0,x,x,x,x,x,x
2015-06-19,1797,1709,26.4,14.1,47.0,0,x,x,x,x,x,x
2015-06-22,1838,1709,26.3,16.2,54.0,0,x,x,x,x,x,x
2015-06-23,1850,1706,28.3,14.8,44.0,0,x,x,x,x,x,x
2015-06-24,1844,1702,27.2,14.5,46.0,0,x,x,x,x,x,x
2015-06-25,1828,1699,27.6,15.2,47.0,0,x,x,x,x,x,x
2015-06-26,1830,1701,24.9,22.3,86.0,0,x,x,x,x,x,x
2015-06-29,1882,1707,29.0,14.7,42.0,0,x,x,x,x,x,x
2015-06-30,1888,1717,20.7,20.3,98.0,3000,o,o,o,o,o,o
2015-07-01,1881,1716,26.4,19.0,64.0,3000,o,o,o,o,o,o
2015-07-02,1837,1720,25.9,15.2,52.0,3000,o,o,o,o,o,o
2015-07-03,1850,1730,30.4,10.3,29.0,3000,o,o,o,o,o,o
2015-07-06,1957,1778,24.7,16.1,59.0,3000,o,o,o,o,o,o
2015-07-07,1939,1793,19.8,19.4,98.0,3000,o,o,o,o,o,o
2015-07-08,2033,1806,22.4,22.0,98.0,3000,o,o,o,o,o,o
2015-07-09,2254,1820,26.2,20.9,73.0,3000,o,o,o,o,o,o
2015-07-10,2249,1820,30.3,20.8,57.0,3000,o,o,o,o,o,o
2015-07-13,2304,1821,23.7,21.7,89.0,3000,o,o,o,o,o,o
2015-07-14,2286,1826,28.5,21.7,67.0,3000,o,o,o,o,o,o
2015-07-15,2306,1825,28.6,20.8,63.0,3000,o,o,o,o,o,o
2015-07-16,2455,1827,26.5,14.5,48.0,3000,o,o,o,o,o,o
2015-07-17,2403,1824,24.4,13.5,51.0,3000,o,o,o,o,o,o
2015-07-20,2404,1854,27.0,21.7,73.0,3000,o,o,o,o,o,o
2015-07-21,2400,1878,28.2,22.8,73.0,3000,o,o,o,o,o,o
2015-07-22,2380,1905,26.4,26.0,98.0,3000,o,o,o,o,o,o
2015-07-23,2302,1931,28.1,23.8,78.0,3000,o,o,o,o,o,o
2015-07-24,2302,1940,26.8,26.1,96.0,3000,o,o,o,o,o,o
2015-07-27,2240,2014,32.9,20.4,48.0,0,o,o,o,o,o,o
2015-07-28,2244,2057,33.2,21.0,49.0,0,o,o,o,o,o,o
2015-07-29,2213,2091,33.2,24.6,61.0,0,o,o,o,o,o,o
2015-07-30,2133,2108,32.8,24.2,61.0,0,o,o,o,o,o,o
2015-07-31,2139,2115,34.1,23.1,53.0,0,o,o,o,o,o,o
2015-08-03,2133,2161,33.4,17.5,39.0,0,o,o,o,o,o,o
2015-08-04,2114,2092,32.3,19.5,47.0,0,o,o,o,o,o,o
2015-08-05,2114,2098,34.7,22.0,48.0,0,o,o,o,o,o,o
2015-08-06,2039,2111,34.6,21.2,46.0,0,o,o,o,o,o,o
2015-08-07,2035,2195,35.7,21.5,44.0,0,o,o,o,o,o,o
2015-08-10,2026,2468,34.2,16.5,35.0,0,x,o,o,o,o,o
2015-08-11,1992,2448,31.0,17.6,45.0,0,x,o,o,o,o,o
2015-08-12,1993,2450,24.0,23.6,98.0,0,x,x,o,o,o,o
2015-08-13,1855,2462,29.4,19.9,57.0,0,x,x,o,o,o,o
