평균,평년,현재기온,이슬점온도,체감온도,습도,해면기압,tor20_o,tor20_x
1287,1561,2.1,-15.4,-2.3,26.0,1021.4,0,1
1287,1449,10.4,-3.3,10.4,38.0,1017.9,0,1
1303,1432,9.1,-16.2,6.7,15.0,1011.3,0,1
1277,1411,2.5,-28.5,-1.6,8.0,1018.0,0,1
1352,1407,3.3,-19.4,-0.1,17.0,1022.8,0,1
1333,1403,5.1,-12.4,1.6,27.0,1022.9,0,1
1329,1352,4.9,-14.0,2.0,24.0,1033.5,0,1
1329,1340,9.1,-8.9,7.7,27.0,1033.1,0,1
1329,1326,5.3,-1.4,3.9,62.0,1025.3,0,1
1262,1321,9.3,-1.4,6.6,47.0,1020.1,0,1
1258,1314,8.5,-5.3,5.7,37.0,1017.4,0,1
1253,1268,9.6,-11.7,7.3,21.0,1020.7,0,1
1262,1254,10.1,-8.0,9.7,27.0,1026.4,0,1
1254,1239,7.4,-3.7,6.3,45.0,1020.8,0,1
1233,1222,6.8,-0.4,4.3,60.0,1015.9,0,1
1241,1216,9.0,-6.4,8.2,33.0,1021.6,0,1
1228,1221,10.0,7.7,8.4,86.0,1016.5,0,1
1212,1231,7.9,-9.9,5.5,27.0,1020.2,0,1
1199,1241,5.1,-10.6,2.8,31.0,1025.8,0,1
1203,1239,7.4,-2.3,4.8,50.0,1025.4,0,1
1203,1251,6.7,-11.0,2.9,27.0,1020.8,0,1
1210,1241,9.9,-10.8,9.0,22.0,1029.1,0,1
1214,1238,10.6,-6.2,10.6,30.0,1027.2,0,1
1213,1238,8.9,-9.1,7.0,27.0,1019.7,0,1
1261,1239,6.9,-11.3,3.8,26.0,1020.5,0,1
1256,1240,8.7,-13.0,6.8,20.0,1024.5,0,1
1261,1231,0.7,-27.5,-4.8,10.0,1026.1,0,1
1248,1229,8.9,-10.6,7.1,24.0,1017.6,0,1
1248,1226,10.5,-5.9,8.7,31.0,1012.9,0,1
1204,1222,8.6,-20.3,6.3,11.0,1009.9,0,1
1213,1227,6.1,-21.2,3.4,12.0,1017.6,0,1
1204,1270,7.5,2.7,7.5,72.0,1014.4,0,1
1202,1282,8.8,-7.0,6.4,32.0,1013.2,0,1
1205,1323,10.9,-8.9,9.4,24.0,1017.6,0,1
1212,1325,11.4,-14.3,10.0,15.0,1016.6,0,1
1229,1325,12.2,-1.0,10.8,40.0,1018.9,0,1
1295,1320,13.5,-7.8,12.1,22.0,1014.5,0,1
1300,1308,4.4,-20.0,1.1,15.0,1025.5,0,1
1300,1281,11.0,-13.9,10.0,16.0,1019.3,0,1
1297,1274,3.3,2.8,1.2,97.0,1012.3,0,1
1297,1260,6.0,-15.9,2.2,19.0,1017.9,0,1
1288,1247,8.9,-10.1,7.7,25.0,1025.6,0,1
1272,1245,10.7,-4.9,9.2,33.0,1022.7,0,1
1286,1243,15.9,-9.9,15.0,16.0,1014.0,0,1
1286,1246,4.6,-26.9,0.8,8.0,1020.3,0,1
1275,1250,7.7,-12.1,4.2,23.0,1019.3,0,1
1246,1252,10.7,-18.6,9.4,11.0,1019.6,0,1
1241,1255,11.5,-1.6,10.4,40.0,1019.2,0,1
1248,1283,20.2,-2.8,20.2,21.0,1020.0,0,1
1253,1288,21.8,-2.8,21.8,19.0,1016.2,0,1
1260,1297,11.4,10.6,11.3,95.0,1010.7,0,1
1257,1305,17.5,8.3,17.5,55.0,1013.8,0,1
1239,1310,21.2,-0.1,21.2,24.0,1016.4,0,1
1261,1304,13.5,-20.2,12.0,8.0,1022.6,0,1
1261,1300,12.1,-16.5,10.4,12.0,1029.8,0,1
1250,1298,13.6,-6.6,12.2,24.0,1034.2,0,1
1297,1295,18.2,-6.5,18.2,18.0,1031.4,0,1
1283,1290,19.9,-13.9,19.9,9.0,1024.2,0,1
1283,1287,20.1,2.8,20.1,32.0,1019.5,0,1
1286,1298,14.3,13.9,13.5,98.0,1017.0,0,1
1283,1307,12.1,6.1,55.0,67.0,1016.4,0,1
1303,1314,16.0,7.9,60.0,59.0,1010.9,0,1
1271,1314,22.9,11.6,69.0,49.0,1003.8,0,1
1283,1314,12.3,10.3,54.0,88.0,1017.0,0,1
1283,1325,10.6,1.9,53.0,55.0,1024.0,0,1
1283,1337,11.6,1.5,54.0,50.0,1026.2,0,1
1334,1348,14.7,1.2,58.0,40.0,1024.2,0,1
1338,1353,19.6,0.0,64.0,27.0,1020.2,0,1
1321,1378,12.8,8.2,55.0,74.0,1015.4,0,1
1317,1379,15.6,-1.0,59.0,32.0,1007.9,0,1
1317,1380,19.0,3.5,63.0,36.0,1008.3,0,1
1354,1380,18.6,8.2,63.0,51.0,1008.5,0,1
1326,1380,17.2,-4.1,61.0,23.0,1016.3,0,1
1334,1367,12.2,10.4,54.0,89.0,1005.8,0,1
1346,1371,18.8,8.1,64.0,50.0,1016.0,0,1
1344,1379,22.6,3.6,67.0,29.0,1016.3,0,1
1363,1389,23.1,-1.1,67.0,20.0,1020.8,0,1
1342,1402,22.0,9.5,67.0,45.0,1018.4,0,1
1341,1432,26.5,0.9,70.0,19.0,1016.4,0,1
1341,1437,24.1,10.7,70.0,43.0,1014.6,0,1
1336,1440,16.5,15.8,62.0,96.0,1013.8,0,1
1332,1446,20.7,13.1,67.0,62.0,1014.0,0,1
1330,1471,25.3,-5.1,68.0,13.0,1005.9,0,1
1341,1480,20.4,7.0,65.0,42.0,1012.1,0,1
1309,1493,23.8,3.6,68.0,27.0,1012.1,0,1
1318,1506,23.8,4.1,68.0,28.0,1013.0,0,1
1308,1588,19.6,9.4,65.0,52.0,1015.7,0,1
1322,1597,19.7,6.0,64.0,41.0,1003.0,0,1
1322,1618,25.3,7.4,70.0,32.0,1007.4,0,1
1322,1624,24.6,17.0,73.0,63.0,1009.7,0,1
1322,1631,21.2,16.9,69.0,77.0,1009.2,0,1
1374,1684,14.2,13.8,58.0,98.0,1006.0,0,1
1388,1684,25.0,15.3,72.0,55.0,1005.8,0,1
1385,1707,24.9,1.0,69.0,21.0,1006.4,0,1
1389,1746,26.0,8.4,71.0,33.0,1013.4,0,1
1386,1786,26.0,8.0,71.0,32.0,1013.6,0,1
1434,1740,32.7,3.5,76.0,16.0,1009.5,0,1
1438,1719,29.9,9.9,75.0,29.0,1010.3,0,1
1438,1711,29.7,2.8,73.0,18.0,1009.1,0,1
1466,1737,29.6,8.6,74.0,27.0,1007.1,0,1
1617,1740,27.0,14.3,74.0,46.0,1010.1,0,1
1744,1765,24.8,17.0,73.0,62.0,1008.9,0,1
1744,1780,27.2,9.5,72.0,33.0,1005.2,0,1
1789,1784,27.4,8.2,72.0,30.0,1010.4,0,1
1812,1796,15.3,12.7,59.0,85.0,1006.4,0,1
1794,1747,23.1,17.0,71.0,69.0,1008.1,0,1
1808,1727,27.5,13.0,74.0,41.0,1006.8,0,1
1808,1720,30.1,14.6,77.0,39.0,1008.8,0,1
