대분류,소분류,사례수,이용한 적이 있다,이용한 적이 없다,연도
전체,소계,2000,30.3,69.7,2013
성별,남자,993,28.3,71.7,2013
성별,여자,1007,32.4,67.6,2013
연령,18~29세,387,51.9,48.1,2013
연령,30~39세,389,40.5,59.5,2013
연령,40~49세,425,34.1,65.9,2013
연령,50~59세,385,16.9,83.1,2013
연령,60세 이상,414,9.2,90.8,2013
학력,중졸 이하,286,2.0,98.0,2013
학력,고졸 고퇴,748,20.6,79.4,2013
학력,대재 이상,967,46.2,53.8,2013
연간 독서량,없음,573,3.4,96.6,2013
연간 독서량,1~5권,458,22.0,78.0,2013
연간 독서량,6~10권,531,40.6,59.4,2013
연간 독서량,11~15권,180,60.4,39.6,2013
연간 독서량,16~20권,73,62.2,37.8,2013
연간 독서량,21권 이상,186,63.0,37.0,2013
전체,소계,5000,28.2,71.8,2015
성별,남자,2478,26.7,73.3,2015
성별,여자,2522,29.7,70.3,2015
연령,18~29세,911,50.2,49.8,2015
연령,30~39세,932,37.9,62.1,2015
연령,40~49세,1030,31.8,68.2,2015
연령,50~59세,988,15.7,84.3,2015
연령,60세 이상,1140,10.1,89.9,2015
학력,중졸 이하,906,6.9,93.1,2015
학력,고졸 고퇴,1904,22.0,78.0,2015
학력,대재 이상,2190,42.3,57.7,2015
연간 독서량,없음,1733,4.4,95.6,2015
연간 독서량,1~5권,977,26.8,73.2,2015
연간 독서량,6~10권,1131,39.9,60.1,2015
연간 독서량,11~15권,516,39.2,60.8,2015
연간 독서량,16~20권,176,54.8,45.2,2015
연간 독서량,21권 이상,466,68.6,31.4,2015
전체,소계,6000,22.2,77.8,2017
성별,남자,2988,20.6,79.4,2017
성별,여자,3012,23.7,76.3,2017
연령,18~29세,1070,42.2,57.8,2017
연령,30~39세,1071,28.7,71.3,2017
연령,40~49세,1218,23.5,76.5,2017
연령,50~59세,1190,13.6,86.4,2017
연령,60세 이상,1451,8.4,91.6,2017
학력,중졸 이하,1002,4.6,95.4,2017
학력,고졸 고퇴,2120,12.4,87.6,2017
학력,대재 이상,2878,35.5,64.5,2017
연간 독서량,없음,2408,3.9,96.1,2017
연간 독서량,1~5권,1433,30.7,69.3,2017
연간 독서량,6~10권,883,30.3,69.7,2017
연간 독서량,11~15권,239,46.1,53.9,2017
연간 독서량,16~20권,365,26.7,73.3,2017
연간 독서량,21권 이상,672,47.8,52.2,2017
