,날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
0,2012-04-07 14:00:00,13.8,-10.8,57.0,17,13.0,1022.0
1,2012-04-06 14:00:00,15.4,-11.1,59.0,15,39.6,1013.6
2,2012-04-05 14:00:00,16.7,-0.5,61.0,31,19.4,1009.0
3,2012-04-04 14:00:00,14.6,-0.3,58.0,36,20.2,1011.9
4,2012-04-03 14:00:00,10.0,-2.3,53.0,42,44.6,1000.2
5,2012-04-02 14:00:00,15.9,4.8,60.0,48,23.0,1019.0
6,2012-04-01 14:00:00,12.8,-12.4,56.0,16,10.8,1022.2
7,2012-03-31 14:00:00,14.1,-11.4,12.4,16,22.0,1014.7
8,2012-03-30 14:00:00,17.2,13.9,17.1,81,11.2,1013.5
9,2012-03-29 14:00:00,18.2,4.7,17.9,41,16.6,1023.5
10,2012-03-28 14:00:00,20.4,-4.0,20.4,19,13.0,1023.9
11,2012-03-27 14:00:00,17.1,-7.4,16.3,18,20.2,1022.6
12,2012-03-26 14:00:00,12.2,-11.4,11.1,18,10.8,1022.6
13,2012-03-25 14:00:00,9.9,-12.0,7.2,20,20.9,1016.9
14,2012-03-24 14:00:00,11.4,-8.4,8.9,24,23.0,1009.8
15,2012-03-23 14:00:00,9.3,7.7,7.9,90,9.4,1005.5
16,2012-03-22 14:00:00,8.0,1.8,6.8,65,7.6,1022.0
17,2012-03-21 14:00:00,14.8,-14.4,14.7,12,7.9,1022.1
18,2012-03-20 14:00:00,12.1,-17.5,10.7,11,13.7,1017.3
19,2012-03-19 14:00:00,12.6,-1.3,12.2,38,7.2,1018.8
20,2012-03-18 14:00:00,16.1,7.0,15.8,55,11.2,1010.8
21,2012-03-17 14:00:00,15.7,8.6,15.0,63,14.4,1009.8
22,2012-03-16 14:00:00,9.1,5.6,8.5,79,5.8,1018.8
23,2012-03-15 14:00:00,13.5,-7.2,11.9,23,18.7,1027.2
24,2012-03-14 14:00:00,12.6,-7.4,10.8,24,18.0,1024.4
25,2012-03-13 14:00:00,8.9,-12.9,6.8,20,13.0,1025.6
26,2012-03-12 14:00:00,7.5,-19.2,5.5,13,10.8,1024.8
27,2012-03-11 14:00:00,7.0,-17.9,4.1,15,16.2,1018.4
28,2012-03-10 14:00:00,11.2,-0.9,10.4,43,7.9,1018.3
29,2012-03-09 14:00:00,13.3,-4.3,13.0,29,7.2,1017.2
30,2012-03-08 14:00:00,11.9,-1.9,10.9,38,10.1,1018.8
31,2012-03-07 14:00:00,11.2,-4.1,11.2,34,4.7,1017.2
32,2012-03-06 14:00:00,11.0,5.9,9.4,71,13.3,1010.5
33,2012-03-05 14:00:00,8.5,5.5,8.5,82,3.6,1012.8
34,2012-03-04 14:00:00,9.1,2.8,9.1,65,4.7,1022.3
35,2012-03-03 14:00:00,11.5,1.6,11.0,51,6.8,1025.1
36,2012-03-02 14:00:00,9.8,3.3,9.8,64,3.6,1016.6
37,2012-03-01 14:00:00,13.9,1.1,13.2,42,10.4,1018.1
38,2012-02-29 14:00:00,11.0,1.7,9.3,53,13.7,1021.8
39,2012-02-28 14:00:00,6.3,-0.9,5.1,60,6.5,1023.4
40,2012-02-27 14:00:00,9.8,-13.4,9.0,18,6.8,1023.5
41,2012-02-26 14:00:00,6.6,-6.7,4.2,38,11.9,1019.4
42,2012-02-25 14:00:00,8.8,-7.0,6.2,32,16.6,1014.7
43,2012-02-24 14:00:00,8.4,-1.7,7.6,49,6.1,1017.8
44,2012-02-23 14:00:00,15.1,-2.8,14.5,29,11.5,1010.7
45,2012-02-22 14:00:00,8.4,3.2,7.6,70,6.1,1017.2
46,2012-02-21 14:00:00,7.8,-12.0,7.8,23,4.7,1022.6
47,2012-02-20 14:00:00,7.7,-20.0,5.8,12,10.4,1025.6
48,2012-02-19 14:00:00,4.0,-17.6,0.9,19,13.0,1025.6
49,2012-02-18 14:00:00,1.6,-19.0,-2.6,20,15.8,1024.2
50,2012-02-17 14:00:00,3.5,-16.8,-0.3,21,16.6,1020.4
51,2012-02-16 14:00:00,7.1,-21.4,4.7,11,12.6,1020.4
52,2012-02-15 14:00:00,10.9,-4.3,10.5,34,6.1,1019.0
53,2012-02-14 14:00:00,6.4,4.5,6.4,88,4.3,1018.8
54,2012-02-13 14:00:00,3.8,1.3,1.7,84,7.9,1023.2
55,2012-02-12 14:00:00,8.8,-16.4,7.4,15,9.0,1029.5
56,2012-02-11 14:00:00,5.7,-23.6,2.0,10,19.4,1027.0
57,2012-02-10 14:00:00,5.6,-12.4,2.6,26,14.4,1024.7
58,2012-02-09 14:00:00,2.6,-16.5,-1.0,23,14.0,1025.9
59,2012-02-08 14:00:00,0.9,-19.0,-2.6,21,11.5,1020.1
60,2012-02-07 14:00:00,4.7,-18.3,1.2,17,16.2,1013.2
61,2012-02-06 14:00:00,6.9,-4.2,5.9,45,6.1,1015.2
62,2012-02-05 14:00:00,6.8,-11.9,4.0,25,14.8,1023.2
63,2012-02-04 14:00:00,6.8,-9.1,4.1,31,14.0,1025.4
64,2012-02-03 14:00:00,2.7,-15.4,-0.2,25,10.4,1023.8
65,2012-02-02 14:00:00,-3.6,-25.8,-8.7,16,14.4,1027.3
66,2012-02-01 14:00:00,1.2,-21.2,-3.6,17,19.4,1020.5
67,2012-01-31 14:00:00,6.1,-15.2,4.3,20,8.6,1022.4
68,2012-01-30 14:00:00,4.8,-28.2,1.4,7,15.5,1026.0
69,2012-01-29 14:00:00,7.8,-18.1,5.1,14,15.8,1025.7
70,2012-01-28 14:00:00,7.4,-19.3,4.4,13,17.6,1025.2
71,2012-01-27 14:00:00,8.5,-8.5,6.5,29,12.2,1023.5
72,2012-01-26 14:00:00,3.6,-14.6,1.1,25,9.7,1025.8
73,2012-01-25 14:00:00,-0.2,-21.7,-5.7,18,21.6,1021.5
74,2012-01-24 14:00:00,0.0,-15.5,-3.9,30,12.6,1023.2
75,2012-01-23 14:00:00,-0.9,-21.6,-6.6,19,21.6,1022.8
76,2012-01-22 14:00:00,6.7,-21.7,3.7,11,16.2,1017.6
77,2012-01-21 14:00:00,11.0,0.9,10.3,50,7.6,1018.1
78,2012-01-20 14:00:00,9.7,2.0,9.7,59,4.3,1020.3
79,2012-01-19 14:00:00,8.7,6.1,7.1,84,10.1,1017.6
80,2012-01-18 14:00:00,8.7,5.6,8.3,81,5.0,1019.6
81,2012-01-17 14:00:00,10.7,3.0,10.7,59,4.0,1019.7
82,2012-01-16 14:00:00,4.3,1.8,1.7,84,10.4,1017.0
83,2012-01-15 14:00:00,5.6,-11.5,3.7,28,8.6,1019.6
84,2012-01-14 14:00:00,7.0,-20.5,4.3,12,14.4,1022.1
85,2012-01-13 14:00:00,6.4,-6.9,3.7,38,13.3,1023.1
86,2012-01-12 14:00:00,2.5,-15.1,-1.4,26,15.5,1026.9
87,2012-01-11 14:00:00,3.5,-18.6,-0.2,18,15.8,1027.3
88,2012-01-10 14:00:00,7.1,-10.6,4.3,27,15.5,1024.3
89,2012-01-09 14:00:00,6.7,-9.2,4.3,31,12.2,1028.5
90,2012-01-08 14:00:00,8.6,-11.4,6.4,23,13.3,1028.2
91,2012-01-07 14:00:00,6.4,-9.9,4.0,30,11.9,1032.8
92,2012-01-06 14:00:00,5.1,-9.5,1.6,34,16.9,1028.0
93,2012-01-05 14:00:00,3.2,-14.9,0.2,25,11.5,1027.0
94,2012-01-04 14:00:00,1.3,-16.1,-3.6,26,20.2,1022.3
95,2012-01-03 14:00:00,2.9,-9.7,-0.7,39,14.0,1019.5
96,2012-01-02 14:00:00,5.4,-10.0,2.5,32,13.3,1023.4
97,2012-01-01 14:00:00,6.8,-4.6,4.7,44,10.4,1020.4
98,2011-12-31 14:00:00,7.2,-14.3,5.3,20,10.1,1024.5
99,2011-12-30 14:00:00,6.9,-5.1,4.5,42,12.6,1027.9
100,2011-12-29 14:00:00,9.0,-5.6,7.2,35,11.2,1025.3
101,2011-12-28 14:00:00,6.6,-10.6,3.9,28,13.7,1028.0
102,2011-12-27 14:00:00,4.7,-20.6,1.7,14,13.0,1032.3
103,2011-12-26 14:00:00,1.4,-22.4,-3.5,15,20.2,1031.4
104,2011-12-25 14:00:00,1.6,-20.8,-3.2,17,19.8,1027.5
105,2011-12-24 14:00:00,4.3,-18.0,0.8,18,15.5,1020.0
106,2011-12-23 14:00:00,2.3,-26.3,-2.1,10,18.0,1023.1
107,2011-12-22 14:00:00,5.2,-17.2,1.6,18,17.6,1021.2
108,2011-12-21 14:00:00,9.1,-4.4,8.4,38,6.1,1023.1
109,2011-12-20 14:00:00,6.7,-14.7,3.8,20,15.5,1027.0
110,2011-12-19 14:00:00,6.6,-11.5,3.2,26,19.1,1027.3
111,2011-12-18 14:00:00,6.2,-6.4,4.1,40,10.1,1027.3
112,2011-12-17 14:00:00,2.8,-14.3,-0.7,27,13.3,1029.2
113,2011-12-16 14:00:00,1.8,-18.2,-2.3,21,15.5,1026.6
114,2011-12-15 14:00:00,6.2,-15.1,3.4,20,14.0,1023.4
115,2011-12-14 14:00:00,13.5,-4.6,12.6,28,11.5,1021.7
116,2011-12-13 14:00:00,12.7,-4.0,11.6,31,12.2,1025.5
117,2011-12-12 14:00:00,11.2,-0.6,10.0,44,10.4,1025.1
118,2011-12-11 14:00:00,10.2,-3.1,8.3,39,13.7,1025.5
119,2011-12-10 14:00:00,5.9,-7.3,2.8,38,15.5,1024.0
120,2011-12-09 14:00:00,6.8,-9.1,4.5,31,11.9,1024.0
121,2011-12-08 14:00:00,12.3,-3.9,11.2,32,11.5,1017.8
122,2011-12-07 14:00:00,11.9,-2.3,10.8,37,10.4,1024.1
123,2011-12-06 14:00:00,8.8,2.7,7.8,66,7.2,1026.9
124,2011-12-05 14:00:00,11.9,-7.0,10.6,26,11.9,1029.5
125,2011-12-04 14:00:00,12.5,-0.7,11.3,40,12.6,1023.6
126,2011-12-03 14:00:00,12.3,5.2,10.9,62,13.7,1013.2
127,2011-12-02 14:00:00,12.6,4.7,12.6,59,4.0,1017.6
128,2011-12-01 14:00:00,9.9,1.5,8.8,56,8.3,1023.3
129,2011-11-30 14:00:00,12.2,8.8,11.4,80,9.4,1019.4
130,2011-11-29 14:00:00,18.4,13.0,18.4,71,13.7,1021.2
131,2011-11-28 14:00:00,18.9,12.8,18.9,68,8.3,1020.6
132,2011-11-27 14:00:00,19.9,9.7,19.9,52,6.5,1022.5
133,2011-11-26 14:00:00,14.9,-1.2,14.8,33,7.6,1027.2
134,2011-11-25 14:00:00,11.0,-2.7,9.1,38,15.1,1029.0
